,Neighborhood,Total Pop.,18-19,20-24,25-29,30-34,35-44,45-54,55-64,65-74,75-84
0,Roslindale,29018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Jamaica Plain,42757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Mission Hill,13921,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Longwood,6240,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Bay Village,1398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Leather District,537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Chinatown,2718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,North End,6962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Roxbury,50606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,South End,23662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Back Bay,20693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,East Boston,32951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Charlestown,14793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,West End,5879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Beacon Hill,8521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Downtown,12488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Fenway,30799,0.0,0.0006,0.0,0.0,0.0,0.0005,0.0,0.0,0.0
17,Brighton,42703,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0
18,West Roxbury,32651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Hyde Park,34541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Mattapan,24293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Dorchester,119898,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0
22,South Boston Waterfront,5144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,South Boston,35490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Allston,25376,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0
25,Harbor Islands,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
