,Ward/Precinct,MICHAEL F FLAHERTY,ALEJANDRA NICOLE STGUILLEN,MICHELLE WU,JULIA MEJIA,ERIN J MURPHY,ALTHEA GARRISON,DAVID HALBERT,ANNISSA ESSAIBI GEORGE,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters
0,0101,119,92,180,93,51,54,136,163,4,892,228,280,1485
1,0102,72,53,86,55,29,19,42,73,0,429,159,147,1108
2,0103,174,145,207,167,64,59,104,175,4,1099,397,374,2665
3,0104,52,57,79,54,22,19,36,66,4,389,111,125,1122
4,0105,65,57,78,50,35,18,42,70,1,416,116,133,1376
5,0106,64,72,89,65,29,14,37,66,6,442,170,153,1272
6,0107,69,67,84,68,18,21,33,75,0,435,165,150,1308
7,0108,123,93,150,106,45,30,50,126,2,725,231,239,1834
8,0109,65,66,79,69,17,24,27,69,6,422,174,149,1163
9,0110,45,39,50,34,13,14,22,45,1,263,105,92,829
10,0111,157,47,116,43,73,64,42,139,3,684,344,257,1474
11,0112,177,45,94,54,48,62,48,101,5,634,346,245,1410
12,0113,176,66,134,68,60,53,32,134,6,729,367,274,1977
13,0114,96,19,47,27,24,25,19,43,3,303,245,137,967
14,0115,0,0,0,0,0,0,0,0,0,0,0,0,3
15,0201,261,82,229,47,196,74,53,168,4,1114,446,390,2209
16,0202,215,102,215,108,127,72,51,152,2,1044,396,360,3160
17,0203,162,91,194,47,110,48,37,139,3,831,265,274,1564
18,0204,145,71,148,43,93,52,39,119,1,711,237,237,1638
19,0205,160,64,149,45,121,50,31,111,1,732,236,242,1638
20,0206,247,78,216,38,204,77,46,168,9,1083,397,370,2052
21,0207,189,63,180,48,130,73,36,113,0,832,304,284,1742
22,0301,237,88,249,52,99,106,52,193,4,1080,432,378,3047
23,0302,82,44,102,31,31,37,21,71,0,419,149,142,1624
24,0303,117,54,130,43,49,50,29,103,0,575,205,195,1805
25,0304,127,55,130,38,55,61,27,108,10,611,261,218,2108
26,0305,300,126,367,116,136,159,89,268,6,1567,633,550,3280
27,0306,225,156,336,97,103,110,108,236,12,1383,373,439,4579
28,0307,265,197,395,136,115,107,110,317,10,1652,344,499,3803
29,0308,393,407,745,360,106,119,335,361,12,2838,642,870,6341
30,0401,177,142,270,112,72,67,73,213,4,1130,206,334,1859
31,0402,176,131,300,109,73,96,73,207,8,1173,367,385,3001
32,0403,113,86,168,70,44,44,42,131,2,700,196,224,1294
33,0404,141,143,218,93,60,72,79,171,2,979,221,300,1871
34,0405,110,93,158,73,32,55,49,106,1,677,191,217,1484
35,0406,109,105,176,91,37,64,68,102,5,757,123,220,1333
36,0407,92,65,146,81,30,45,42,90,0,591,173,191,1344
37,0408,86,96,152,84,29,36,74,78,2,637,167,201,1456
38,0409,25,35,37,44,10,14,23,22,0,210,82,73,1058
39,0410,18,18,31,25,8,9,7,21,0,137,15,38,569
40,0501,369,321,620,262,97,105,226,390,1,2391,489,720,4397
41,0502,161,142,246,113,64,69,75,165,2,1037,311,337,2532
42,0503,194,127,297,59,47,73,66,223,9,1095,485,395,1665
43,0504,171,106,250,62,60,83,64,190,1,987,345,333,2183
44,0505,100,41,147,23,27,46,22,86,1,493,327,205,686
45,0506,158,75,231,60,65,65,51,166,3,874,378,313,1793
46,0507,208,112,273,63,57,87,72,192,4,1068,400,367,2132
47,0508,160,103,240,65,47,74,45,192,10,936,376,328,1939
48,0509,198,123,273,76,67,81,61,209,7,1095,349,361,2676
49,0510,97,83,160,75,47,45,68,101,0,676,188,216,1777
50,0511,150,81,215,54,45,79,43,165,7,839,353,298,1137
51,0601,290,151,317,149,165,120,92,257,7,1548,428,494,6026
52,0602,138,44,87,27,64,36,22,80,4,502,246,187,1528
53,0603,142,39,88,30,73,49,32,83,3,539,245,196,2075
54,0604,173,40,89,21,101,64,22,90,1,601,307,227,1946
55,0605,179,40,115,42,110,89,24,127,0,726,286,253,1861
56,0606,283,30,116,18,160,90,16,122,7,842,518,340,1595
57,0607,240,32,90,18,147,102,25,102,6,762,510,318,1809
58,0608,239,23,95,14,125,98,14,127,8,743,429,293,1630
59,0609,244,16,69,11,126,96,13,103,6,684,524,302,1500
60,0701,275,23,84,17,154,118,16,153,7,847,537,346,1343
61,0702,254,30,91,25,157,94,23,148,3,825,431,314,1869
62,0703,311,35,124,25,171,113,27,146,7,959,605,391,2046
63,0704,136,30,77,34,81,57,18,80,2,515,257,193,1763
64,0705,124,29,91,29,77,52,19,72,0,493,267,190,1681
65,0706,160,36,91,48,75,42,28,99,4,583,213,199,1474
66,0707,131,32,76,70,43,29,15,80,3,479,181,165,1308
67,0708,96,49,83,50,57,43,39,112,2,531,193,181,1272
68,0709,97,54,85,53,66,40,24,115,4,538,170,177,1152
69,0710,72,30,71,65,19,46,17,63,1,384,80,116,1399
70,0801,76,73,113,73,36,28,48,73,3,523,161,171,1381
71,0802,127,136,235,111,74,53,92,185,6,1019,289,327,2971
72,0803,57,30,86,50,9,54,29,64,3,382,186,142,1390
73,0804,44,19,43,43,6,34,9,41,0,239,117,89,706
74,0805,79,30,81,86,15,59,27,62,3,442,210,163,1321
75,0806,27,14,24,29,1,13,8,22,2,140,72,53,513
76,0807,49,38,65,55,16,58,27,52,0,360,120,120,1033
77,0901,120,107,158,174,38,52,66,107,2,824,364,297,1973
78,0902,149,117,225,131,46,55,55,178,2,958,282,310,2272
79,0903,188,156,247,198,63,113,87,217,6,1275,313,397,3168
80,0904,129,70,124,101,30,78,39,88,8,667,249,229,2110
81,0905,180,139,291,192,35,164,76,239,0,1316,324,410,2044
82,1001,123,71,106,84,22,47,30,98,0,581,275,214,973
83,1002,62,58,96,50,21,43,28,64,0,422,174,149,945
84,1003,61,68,79,37,20,25,21,62,3,376,136,128,987
85,1004,127,142,198,157,85,41,89,93,1,933,447,345,1828
86,1005,81,86,123,89,18,43,43,106,0,589,163,188,1174
87,1006,52,78,109,99,15,25,31,67,0,476,112,147,1365
88,1007,89,103,135,181,18,34,51,88,3,702,310,253,1875
89,1008,158,171,264,175,38,97,83,191,1,1178,254,358,1953
90,1009,109,260,285,234,48,53,116,198,5,1308,188,374,2105
91,1101,44,85,112,92,9,35,35,100,4,516,136,163,958
92,1102,101,92,205,138,31,98,53,158,4,880,280,290,1583
93,1103,78,57,100,97,11,59,16,77,1,496,168,166,1269
94,1104,120,152,232,217,31,54,99,156,8,1069,251,330,2108
95,1105,103,138,192,167,21,58,84,128,1,892,188,270,1630
96,1106,74,167,226,195,23,35,90,142,0,952,160,278,1208
97,1107,79,200,261,183,23,56,131,174,2,1109,211,330,1668
98,1108,92,270,349,232,39,63,162,211,4,1422,182,401,1893
99,1109,76,177,214,143,24,34,97,140,0,905,147,263,1005
100,1110,75,219,275,186,25,40,102,177,0,1099,145,311,1380
101,1201,107,77,191,115,29,115,58,128,4,824,468,323,1735
102,1202,143,92,203,138,16,122,62,149,1,926,358,321,2173
103,1203,65,48,99,69,8,71,35,64,1,460,280,185,944
104,1204,67,47,109,66,8,83,27,70,4,481,227,177,1187
105,1205,74,41,82,65,16,68,32,62,15,455,237,173,705
106,1206,73,33,94,51,9,60,35,70,1,426,230,164,926
107,1207,176,87,175,150,37,114,55,143,5,942,390,333,2568
108,1208,41,31,58,55,9,35,12,48,0,289,131,105,858
109,1209,65,46,103,81,9,79,22,80,4,489,187,169,1030
110,1301,98,64,104,101,25,90,33,97,6,618,178,199,1497
111,1302,34,14,38,34,11,28,10,29,3,201,55,64,590
112,1303,65,40,59,58,34,32,32,61,1,382,174,139,1439
113,1304,62,29,68,62,9,52,18,74,6,380,160,135,1075
114,1305,55,33,71,61,24,48,27,69,0,388,156,136,1063
115,1306,107,50,114,63,58,50,32,150,4,628,216,211,1410
116,1307,144,71,112,77,109,46,38,146,2,745,203,237,1474
117,1308,95,54,103,56,89,30,39,137,2,605,199,201,1374
118,1309,97,59,116,58,77,50,43,113,5,618,222,210,1355
119,1310,251,94,223,78,231,119,74,336,5,1411,497,477,1708
120,1401,123,58,125,120,17,76,43,125,1,688,264,238,2632
121,1402,142,56,150,121,23,110,42,131,5,780,396,294,2547
122,1403,70,32,80,58,10,42,16,67,0,375,145,130,1285
123,1404,58,28,65,51,15,51,14,64,0,346,194,135,1555
124,1405,73,43,88,51,24,42,35,77,0,433,103,134,1118
125,1406,62,29,60,54,12,49,16,63,0,345,119,116,1110
126,1407,50,32,65,57,9,40,15,61,5,334,142,119,1181
127,1408,89,34,113,79,18,60,30,83,1,507,205,178,1178
128,1409,42,24,41,36,13,34,14,40,3,247,145,98,1342
129,1410,89,28,72,45,19,51,25,60,0,389,219,152,1386
130,1411,67,32,61,45,15,42,26,65,4,357,127,121,1259
131,1412,52,20,51,36,7,34,13,50,0,263,33,74,731
132,1413,59,27,73,50,19,62,21,76,0,387,65,113,1079
