,Neighborhood,Total Pop.,18-19,20-24,25-29,30-34,35-44,45-54,55-64,65-74,75-84
0,Roslindale,29018,0.0,0.002,0.003,0.001,0.002,0.005,0.002,0.002,0.0
1,Jamaica Plain,42757,0.002,0.005,0.008,0.011,0.011,0.005,0.004,0.001,0.001
2,Mission Hill,13921,0.009,0.049,0.024,0.013,0.012,0.008,0.01,0.005,0.005
3,Longwood,6240,0.03,0.042,0.016,0.009,0.009,0.014,0.012,0.004,0.005
4,Bay Village,1398,0.007,0.016,0.028,0.011,0.03,0.058,0.051,0.026,0.014
5,Leather District,537,0.015,0.037,0.052,0.024,0.039,0.065,0.086,0.041,0.03
6,Chinatown,2718,0.014,0.035,0.05,0.023,0.038,0.065,0.083,0.038,0.029
7,North End,6962,0.0,0.006,0.01,0.007,0.006,0.002,0.002,0.0,0.0
8,Roxbury,50606,0.007,0.01,0.005,0.004,0.003,0.002,0.002,0.001,0.001
9,South End,23662,0.004,0.013,0.022,0.016,0.02,0.023,0.017,0.013,0.011
10,Back Bay,20693,0.008,0.018,0.023,0.019,0.01,0.007,0.005,0.006,0.006
11,East Boston,32951,0.0,0.0,0.002,0.002,0.007,0.005,0.002,0.002,0.002
12,Charlestown,14793,0.001,0.004,0.005,0.008,0.018,0.009,0.011,0.003,0.003
13,West End,5879,0.002,0.011,0.035,0.026,0.037,0.011,0.006,0.003,0.023
14,Beacon Hill,8521,0.0,0.01,0.017,0.015,0.005,0.002,0.006,0.002,0.002
15,Downtown,12488,0.007,0.022,0.03,0.017,0.025,0.031,0.037,0.018,0.014
16,Fenway,30799,0.045,0.059,0.031,0.016,0.006,0.005,0.003,0.003,0.006
17,Brighton,42703,0.005,0.029,0.019,0.014,0.021,0.013,0.012,0.011,0.006
18,West Roxbury,32651,0.0,0.002,0.003,0.004,0.014,0.017,0.008,0.003,0.002
19,Hyde Park,34541,0.0,0.002,0.003,0.002,0.003,0.003,0.002,0.001,0.001
20,Mattapan,24293,0.001,0.0,0.003,0.003,0.006,0.003,0.002,0.001,0.0
21,Dorchester,119898,0.001,0.007,0.011,0.011,0.018,0.013,0.012,0.007,0.001
22,South Boston Waterfront,5144,0.005,0.007,0.009,0.009,0.011,0.01,0.006,0.005,0.001
23,South Boston,35490,0.001,0.007,0.007,0.005,0.009,0.009,0.006,0.003,0.003
24,Allston,25376,0.02,0.045,0.046,0.016,0.009,0.013,0.007,0.004,0.002
25,Harbor Islands,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
