,Neighborhood,Total Pop.,18-19,20-24,25-29,30-34,35-44,45-54,55-64,65-74,75-84
0,Roslindale,30205,0.007,0.017,0.016,0.016,0.031,0.038,0.041,0.015,0.007
1,Jamaica Plain,43866,0.004,0.011,0.015,0.022,0.027,0.022,0.024,0.014,0.008
2,Mission Hill,14248,0.008,0.022,0.018,0.009,0.02,0.019,0.029,0.015,0.008
3,Longwood,6549,0.019,0.025,0.014,0.002,0.01,0.007,0.019,0.005,0.0
4,Bay Village,1465,0.002,0.008,0.001,0.001,0.003,0.001,0.003,0.003,0.0
5,Leather District,621,0.005,0.005,0.003,0.003,0.006,0.003,0.005,0.005,0.0
6,Chinatown,3113,0.004,0.004,0.003,0.002,0.005,0.002,0.006,0.005,0.0
7,North End,6784,0.001,0.002,0.002,0.004,0.0,0.002,0.001,0.001,0.001
8,Roxbury,53772,0.019,0.044,0.045,0.04,0.058,0.07,0.067,0.037,0.024
9,South End,24202,0.003,0.005,0.008,0.004,0.018,0.014,0.016,0.017,0.008
10,Back Bay,20755,0.006,0.004,0.006,0.003,0.009,0.008,0.007,0.006,0.002
11,East Boston,33911,0.001,0.003,0.004,0.002,0.003,0.005,0.002,0.001,0.001
12,Charlestown,16296,0.002,0.011,0.011,0.005,0.005,0.006,0.013,0.003,0.0
13,West End,6228,0.003,0.005,0.007,0.008,0.006,0.01,0.012,0.003,0.0
14,Beacon Hill,8929,0.0,0.0,0.003,0.0,0.005,0.001,0.005,0.0,0.0
15,Downtown,13835,0.004,0.006,0.004,0.005,0.003,0.005,0.006,0.004,0.0
16,Fenway,32157,0.015,0.016,0.006,0.003,0.008,0.007,0.007,0.004,0.001
17,Brighton,48557,0.001,0.009,0.011,0.003,0.003,0.005,0.003,0.003,0.001
18,West Roxbury,33439,0.002,0.009,0.015,0.007,0.022,0.015,0.01,0.006,0.005
19,Hyde Park,37974,0.006,0.045,0.045,0.027,0.055,0.072,0.073,0.044,0.015
20,Mattapan,26841,0.018,0.043,0.078,0.051,0.114,0.105,0.091,0.06,0.03
21,Dorchester,122532,0.014,0.04,0.047,0.04,0.061,0.057,0.052,0.034,0.017
22,South Boston Waterfront,6343,0.003,0.009,0.004,0.008,0.009,0.006,0.007,0.002,0.002
23,South Boston,36371,0.002,0.008,0.008,0.007,0.009,0.008,0.01,0.005,0.003
24,Allston,26649,0.008,0.017,0.013,0.004,0.003,0.008,0.002,0.002,0.001
25,Harbor Islands,98,0.0,0.0,0.041,0.041,0.0,0.092,0.01,0.041,0.0
