,NEIGHBORHOOD,TOTAL,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
0,Roslindale,29024,0.61,0.26,0.01,0.02,0.08
1,Jamaica Plain,42759,0.6,0.18,0.0,0.05,0.13
2,Mission Hill,13920,0.54,0.19,0.0,0.15,0.08
3,Longwood,6241,0.64,0.11,0.0,0.16,0.06
4,Bay Village,1399,0.61,0.02,0.0,0.32,0.01
5,Leather District,537,0.45,0.03,0.0,0.49,0.01
6,Chinatown,2718,0.46,0.03,0.0,0.47,0.01
7,North End,6964,0.92,0.01,0.0,0.04,0.01
8,Roxbury,50601,0.21,0.55,0.0,0.04,0.16
9,South End,23667,0.62,0.12,0.0,0.17,0.05
10,Back Bay,20691,0.79,0.07,0.0,0.11,0.02
11,East Boston,35498,0.62,0.03,0.01,0.03,0.05
12,Charlestown,14793,0.75,0.1,0.0,0.08,0.04
13,West End,5879,0.73,0.04,0.0,0.17,0.03
14,Beacon Hill,8519,0.9,0.02,0.0,0.06,0.01
15,Downtown,12488,0.66,0.04,0.0,0.25,0.02
16,Fenway,30801,0.68,0.06,0.0,0.18,0.04
17,Brighton,42705,0.74,0.04,0.0,0.15,0.03
18,West Roxbury,32649,0.78,0.1,0.0,0.07,0.03
19,Hyde Park,34542,0.34,0.48,0.01,0.02,0.11
20,Mattapan,24293,0.1,0.83,0.0,0.02,0.02
21,Dorchester,119898,0.25,0.49,0.01,0.1,0.11
22,South Boston Waterfront,5143,0.77,0.08,0.0,0.07,0.05
23,South Boston,35495,0.78,0.07,0.0,0.06,0.06
24,Allston,25379,0.64,0.07,0.0,0.18,0.06
25,Harbor Islands,71,0.42,0.38,0.0,0.0,0.08
