,NEIGHBORHOOD,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 55+,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 55+,F 85+,Total 55+,Total 18-29
0,Roslindale,30205,0.467,0.007,0.005,0.006,0.012,0.043,0.036,0.043,0.032,0.03,0.142,0.037,0.037,0.013,0.007,0.004,0.008,0.533,0.033,0.025,0.025,0.019,0.08,0.01,0.222,0.042
1,Jamaica Plain,43866,0.462,0.007,0.003,0.007,0.019,0.06,0.064,0.041,0.038,0.024,0.13,0.027,0.029,0.014,0.005,0.004,0.005,0.538,0.031,0.018,0.016,0.018,0.062,0.01,0.192,0.041
2,Mission Hill,14248,0.517,0.046,0.033,0.05,0.091,0.078,0.031,0.023,0.013,0.015,0.064,0.013,0.022,0.012,0.004,0.005,0.004,0.484,0.01,0.009,0.008,0.009,0.079,0.053,0.143,0.151
3,Longwood,6549,0.42,0.111,0.051,0.041,0.052,0.048,0.015,0.007,0.012,0.004,0.033,0.011,0.012,0.002,0.002,0.003,0.004,0.579,0.002,0.004,0.002,0.012,0.233,0.215,0.266,0.209
4,Bay Village,1465,0.472,0.027,0.009,0.003,0.016,0.041,0.072,0.027,0.018,0.045,0.122,0.032,0.049,0.016,0.016,0.01,0.011,0.528,0.026,0.007,0.007,0.008,0.052,0.031,0.174,0.079
5,Leather District,621,0.462,0.061,0.013,0.011,0.023,0.056,0.047,0.021,0.019,0.027,0.089,0.021,0.034,0.014,0.008,0.006,0.006,0.538,0.013,0.016,0.008,0.003,0.108,0.081,0.196,0.114
6,Chinatown,3113,0.463,0.058,0.013,0.01,0.022,0.056,0.049,0.022,0.019,0.028,0.091,0.022,0.035,0.015,0.009,0.006,0.007,0.536,0.014,0.016,0.008,0.004,0.103,0.075,0.194,0.111
7,North End,6784,0.505,0.003,0.003,0.009,0.041,0.152,0.09,0.034,0.02,0.012,0.083,0.016,0.029,0.014,0.013,0.006,0.002,0.495,0.009,0.011,0.007,0.0,0.022,0.004,0.104,0.049
8,Roxbury,53772,0.462,0.026,0.011,0.013,0.034,0.043,0.034,0.021,0.024,0.024,0.095,0.025,0.026,0.012,0.007,0.009,0.004,0.538,0.027,0.028,0.032,0.02,0.104,0.025,0.199,0.078
9,South End,24202,0.477,0.01,0.004,0.005,0.018,0.061,0.062,0.036,0.03,0.043,0.139,0.03,0.03,0.02,0.009,0.003,0.008,0.523,0.02,0.017,0.024,0.008,0.065,0.016,0.204,0.05
10,Back Bay,20755,0.469,0.034,0.017,0.015,0.028,0.076,0.058,0.036,0.022,0.018,0.098,0.023,0.026,0.017,0.015,0.005,0.004,0.531,0.011,0.006,0.008,0.004,0.049,0.03,0.147,0.104
11,East Boston,33911,0.538,0.011,0.004,0.007,0.025,0.063,0.076,0.056,0.044,0.035,0.168,0.033,0.029,0.01,0.005,0.004,0.005,0.461,0.032,0.026,0.026,0.015,0.078,0.011,0.246,0.041
12,Charlestown,16296,0.47,0.007,0.0,0.001,0.015,0.057,0.067,0.042,0.03,0.025,0.127,0.029,0.03,0.01,0.007,0.004,0.004,0.531,0.055,0.031,0.013,0.005,0.05,0.002,0.177,0.03
13,West End,6228,0.5,0.009,0.005,0.009,0.031,0.095,0.07,0.053,0.024,0.03,0.132,0.025,0.017,0.016,0.018,0.008,0.013,0.5,0.006,0.013,0.007,0.003,0.041,0.018,0.173,0.065
14,Beacon Hill,8929,0.482,0.006,0.001,0.002,0.017,0.11,0.09,0.025,0.024,0.015,0.082,0.018,0.037,0.018,0.014,0.013,0.002,0.518,0.007,0.014,0.017,0.001,0.035,0.003,0.117,0.053
15,Downtown,13835,0.499,0.036,0.009,0.008,0.024,0.077,0.061,0.031,0.024,0.032,0.112,0.025,0.04,0.019,0.013,0.008,0.007,0.501,0.013,0.013,0.008,0.003,0.07,0.047,0.182,0.092
