,Ward/Precinct,STEPHEN J MURPHY,DOUG BENNETT,FELIX G ARROYO,TITO JACKSON,TOMAS GONZALEZ,JOHN R CONNOLLY,ANDREW P KENNEALLY,AYANNA S PRESSLEY,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters
0,0101,175,62,116,63,41,188,186,73,5,909,679,397,1113
1,0102,147,52,71,25,43,129,115,41,4,627,465,273,816
2,0103,242,88,217,93,138,217,195,127,2,1319,1081,600,1720
3,0104,78,44,38,18,11,72,73,25,0,359,373,183,563
4,0105,116,54,82,23,34,110,157,37,4,617,527,286,960
5,0106,117,47,77,27,51,132,105,45,5,606,410,254,836
6,0107,104,52,88,35,48,128,106,48,2,611,429,260,1046
7,0108,155,70,150,36,85,165,156,55,5,877,647,381,1413
8,0109,105,53,75,16,31,101,87,29,3,500,360,215,838
9,0110,78,33,57,15,27,79,70,25,2,386,242,157,582
10,0111,257,99,118,34,47,293,207,49,2,1106,998,526,1296
11,0112,265,94,122,49,50,288,247,72,0,1187,941,532,1315
12,0113,274,104,147,44,57,272,290,70,1,1259,1073,583,1627
13,0114,137,66,71,41,35,118,124,55,3,650,622,318,943
14,0115,0,0,1,0,0,0,0,0,0,1,3,1,223
15,0201,349,219,189,109,47,406,200,148,1,1668,1180,712,1948
16,0202,321,138,206,78,60,405,145,165,5,1523,1061,646,2339
17,0203,263,171,172,89,45,300,140,178,4,1362,798,540,1579
18,0204,189,94,129,53,47,220,109,80,8,929,655,396,1398
19,0205,329,139,162,60,50,393,191,132,1,1457,775,558,1628
20,0206,410,199,172,71,58,550,228,149,8,1845,1143,747,1903
21,0207,277,120,118,43,41,283,164,99,2,1147,753,475,1286
22,0301,503,325,318,157,137,519,225,369,12,2565,1887,1113,3487
23,0302,168,108,125,69,56,171,69,94,0,860,732,398,1546
24,0303,143,117,103,64,45,168,84,86,3,813,787,400,1528
25,0304,209,129,127,74,64,237,83,90,2,1015,1057,518,1616
26,0305,399,168,345,114,78,443,125,323,3,1998,1010,752,2646
27,0306,345,293,269,120,81,418,123,296,7,1952,1068,755,3479
28,0307,452,134,447,231,155,533,163,429,9,2553,1391,986,3726
29,0308,381,116,426,240,213,417,246,322,16,2377,1387,941,3805
30,0401,281,92,288,163,83,296,84,318,1,1606,766,593,1966
31,0402,271,88,286,218,93,274,69,325,9,1633,939,643,2655
32,0403,142,47,184,136,47,172,35,205,4,972,388,340,1310
33,0404,266,91,305,207,95,282,62,334,6,1648,592,560,1943
34,0405,146,54,169,104,38,161,49,154,3,878,414,323,1550
35,0406,142,44,144,72,65,161,50,150,6,834,386,305,1354
36,0407,116,42,153,102,34,111,29,137,1,725,323,262,1701
37,0408,124,24,131,67,32,122,31,104,0,635,301,234,1578
38,0409,25,9,61,48,21,14,7,24,6,215,233,112,1048
39,0410,18,12,14,10,7,17,9,17,1,105,63,42,945
40,0501,524,146,476,303,161,525,200,512,11,2858,1370,1057,3990
41,0502,184,49,187,90,68,207,43,162,3,993,515,377,2449
42,0503,229,122,197,112,43,278,60,237,2,1280,556,459,1702
43,0504,187,86,166,95,39,218,49,181,4,1025,567,398,2135
44,0505,118,71,85,45,23,120,33,104,3,602,282,221,655
45,0506,217,108,164,73,41,227,55,183,5,1073,607,420,1843
46,0507,295,115,196,119,53,325,63,237,8,1411,669,520,2133
47,0508,256,101,194,110,42,280,52,210,3,1248,664,478,2026
48,0509,242,101,200,126,53,269,66,199,17,1273,607,470,2893
49,0510,134,44,110,53,43,145,44,120,2,695,449,286,2380
50,0511,205,61,161,64,49,215,52,178,2,987,541,382,1173
51,0601,324,195,204,111,75,365,245,199,7,1725,1007,683,2533
52,0602,217,135,95,35,34,213,156,81,3,969,579,387,1171
53,0603,281,178,114,47,37,309,226,122,6,1320,564,471,1430
54,0604,302,154,99,51,49,278,241,105,7,1286,878,541,1552
