,DISTRICT,TOTAL,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
0,1,59395.0,41595.0,2742.0,310.0,2667.0,2490.0
1,2,74636.0,54361.0,4551.0,190.0,10753.0,2799.0
2,3,68392.0,26571.0,19267.0,253.0,10664.0,9214.0
3,4,74392.0,11157.0,50574.0,646.0,3644.0,6193.0
4,5,75868.0,27662.0,37800.0,380.0,1476.0,5992.0
5,6,77956.0,53427.0,10536.0,104.0,4754.0,6881.0
6,7,69555.0,22584.0,30715.0,128.0,4508.0,8960.0
7,8,61444.0,44228.0,4020.0,86.0,9154.0,2143.0
8,9,66258.0,46742.0,3597.0,175.0,10533.0,3037.0
