,Neighborhood,Total Pop.,18-19,20-24,25-29,30-34,35-44,45-54,55-64,65-74,75-84
0,Roslindale,30205,0.005,0.018,0.021,0.011,0.035,0.028,0.03,0.013,0.004
1,Jamaica Plain,43866,0.008,0.015,0.026,0.016,0.03,0.026,0.022,0.018,0.009
2,Mission Hill,14248,0.015,0.044,0.022,0.006,0.02,0.018,0.024,0.012,0.005
3,Longwood,6549,0.025,0.036,0.01,0.001,0.012,0.006,0.008,0.005,0.0
4,Bay Village,1465,0.008,0.01,0.012,0.001,0.005,0.012,0.001,0.003,0.005
5,Leather District,621,0.014,0.014,0.006,0.01,0.003,0.01,0.002,0.002,0.002
6,Chinatown,3113,0.014,0.014,0.007,0.009,0.003,0.01,0.002,0.002,0.002
7,North End,6784,0.001,0.02,0.016,0.006,0.007,0.002,0.008,0.0,0.001
8,Roxbury,53772,0.011,0.028,0.024,0.023,0.034,0.033,0.027,0.022,0.006
9,South End,24202,0.009,0.012,0.019,0.012,0.024,0.015,0.005,0.007,0.004
10,Back Bay,20755,0.009,0.02,0.017,0.014,0.011,0.011,0.002,0.001,0.003
11,East Boston,33911,0.01,0.04,0.065,0.072,0.116,0.077,0.043,0.015,0.006
12,Charlestown,16296,0.002,0.008,0.015,0.006,0.011,0.007,0.011,0.003,0.002
13,West End,6228,0.003,0.013,0.023,0.022,0.025,0.006,0.006,0.002,0.0
14,Beacon Hill,8929,0.0,0.006,0.019,0.019,0.008,0.001,0.004,0.003,0.0
15,Downtown,13835,0.009,0.014,0.008,0.009,0.007,0.011,0.003,0.002,0.001
16,Fenway,32157,0.028,0.038,0.015,0.007,0.013,0.012,0.005,0.003,0.0
17,Brighton,48557,0.005,0.025,0.021,0.009,0.012,0.01,0.004,0.005,0.003
18,West Roxbury,33439,0.002,0.008,0.013,0.009,0.009,0.01,0.008,0.004,0.007
19,Hyde Park,37974,0.008,0.022,0.02,0.016,0.042,0.03,0.032,0.01,0.004
20,Mattapan,26841,0.004,0.008,0.009,0.008,0.025,0.015,0.007,0.009,0.002
21,Dorchester,122532,0.007,0.018,0.02,0.017,0.026,0.024,0.015,0.01,0.003
22,South Boston Waterfront,6343,0.002,0.004,0.019,0.012,0.013,0.01,0.009,0.002,0.003
23,South Boston,36371,0.002,0.007,0.019,0.009,0.013,0.016,0.007,0.007,0.002
24,Allston,26649,0.013,0.034,0.023,0.017,0.013,0.009,0.003,0.002,0.003
25,Harbor Islands,98,0.0,0.0,0.041,0.0,0.071,0.112,0.071,0.0,0.0
