,Neighborhood,Total Pop.,18-19,20-24,25-29,30-34,35-44,45-54,55-64,65-74,75-84
0,Roslindale,29018,0.004,0.015,0.045,0.046,0.089,0.079,0.075,0.035,0.023
1,Jamaica Plain,42757,0.005,0.04,0.089,0.072,0.077,0.066,0.055,0.032,0.013
2,Mission Hill,13921,0.06,0.202,0.062,0.029,0.028,0.024,0.021,0.02,0.013
3,Longwood,6240,0.225,0.25,0.043,0.017,0.014,0.009,0.008,0.008,0.009
4,Bay Village,1398,0.046,0.043,0.081,0.102,0.076,0.04,0.062,0.05,0.021
5,Leather District,537,0.11,0.069,0.045,0.032,0.035,0.037,0.024,0.024,0.006
6,Chinatown,2718,0.102,0.065,0.049,0.039,0.039,0.038,0.028,0.026,0.008
7,North End,6962,0.005,0.103,0.261,0.126,0.099,0.068,0.057,0.064,0.047
8,Roxbury,50606,0.023,0.036,0.016,0.012,0.015,0.01,0.01,0.004,0.001
9,South End,23662,0.011,0.039,0.093,0.099,0.081,0.08,0.058,0.037,0.011
10,Back Bay,20693,0.043,0.072,0.141,0.1,0.069,0.058,0.09,0.064,0.034
11,East Boston,32951,0.002,0.014,0.043,0.032,0.043,0.039,0.035,0.027,0.018
12,Charlestown,14793,0.003,0.018,0.097,0.128,0.123,0.078,0.082,0.048,0.021
13,West End,5879,0.019,0.083,0.142,0.078,0.087,0.057,0.065,0.049,0.034
14,Beacon Hill,8521,0.007,0.081,0.219,0.119,0.09,0.084,0.065,0.086,0.019
15,Downtown,12488,0.057,0.074,0.104,0.074,0.061,0.059,0.061,0.057,0.024
16,Fenway,30799,0.16,0.211,0.088,0.043,0.031,0.018,0.024,0.012,0.009
17,Brighton,42703,0.023,0.155,0.165,0.064,0.054,0.043,0.051,0.036,0.033
18,West Roxbury,32651,0.008,0.023,0.042,0.05,0.104,0.115,0.109,0.07,0.043
19,Hyde Park,34541,0.003,0.01,0.018,0.021,0.032,0.043,0.043,0.033,0.02
20,Mattapan,24293,0.001,0.003,0.003,0.004,0.009,0.012,0.012,0.006,0.003
21,Dorchester,119898,0.002,0.013,0.026,0.026,0.031,0.029,0.028,0.014,0.009
22,South Boston Waterfront,5144,0.005,0.056,0.206,0.123,0.103,0.079,0.071,0.037,0.02
23,South Boston,35490,0.004,0.047,0.213,0.099,0.094,0.074,0.07,0.034,0.025
24,Allston,25376,0.081,0.183,0.137,0.046,0.031,0.018,0.025,0.014,0.013
25,Harbor Islands,71,0.014,0.014,0.028,0.042,0.0,0.028,0.141,0.014,0.07
