,DISTRICT,TOTAL,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
0,1,61957.0,43859.0,2499.0,183.0,3109.0,2233.0
1,2,79345.0,57376.0,5056.0,120.0,11741.0,2844.0
2,3,68148.0,28644.0,20425.0,217.0,10122.0,5795.0
3,4,78568.0,13374.0,51784.0,291.0,3779.0,6018.0
4,5,81579.0,29546.0,40364.0,197.0,1629.0,6191.0
5,6,79866.0,54040.0,11863.0,102.0,4986.0,5779.0
6,7,73194.0,22727.0,31695.0,477.0,5139.0,9056.0
7,8,63516.0,44493.0,4467.0,135.0,10042.0,2279.0
8,9,73362.0,49459.0,4071.0,226.0,12863.0,4451.0
