,Neighborhood,Total Pop.,18-19,20-24,25-29,30-34,35-44,45-54,55-64,65-74,75-84
0,Roslindale,30205,0.006,0.014,0.042,0.05,0.085,0.067,0.075,0.047,0.027
1,Jamaica Plain,43866,0.005,0.034,0.075,0.084,0.085,0.056,0.067,0.044,0.012
2,Mission Hill,14248,0.065,0.172,0.054,0.033,0.018,0.017,0.021,0.024,0.01
3,Longwood,6549,0.24,0.222,0.031,0.014,0.003,0.004,0.009,0.007,0.008
4,Bay Village,1465,0.04,0.057,0.074,0.111,0.057,0.076,0.072,0.046,0.033
5,Leather District,621,0.101,0.063,0.071,0.047,0.029,0.04,0.034,0.026,0.003
6,Chinatown,3113,0.096,0.062,0.071,0.052,0.031,0.043,0.039,0.027,0.006
7,North End,6784,0.005,0.089,0.267,0.14,0.095,0.049,0.069,0.061,0.034
8,Roxbury,53772,0.015,0.031,0.017,0.016,0.013,0.016,0.011,0.009,0.003
9,South End,24202,0.011,0.036,0.095,0.091,0.08,0.077,0.065,0.041,0.011
10,Back Bay,20755,0.037,0.063,0.121,0.097,0.079,0.063,0.089,0.068,0.033
11,East Boston,33911,0.01,0.017,0.042,0.052,0.038,0.035,0.038,0.026,0.014
12,Charlestown,16296,0.003,0.017,0.087,0.12,0.122,0.096,0.085,0.056,0.026
13,West End,6228,0.019,0.038,0.138,0.095,0.086,0.084,0.072,0.061,0.043
14,Beacon Hill,8929,0.007,0.044,0.173,0.137,0.096,0.079,0.095,0.068,0.047
15,Downtown,13835,0.059,0.055,0.115,0.078,0.06,0.061,0.068,0.054,0.024
16,Fenway,32157,0.152,0.179,0.076,0.052,0.028,0.013,0.024,0.012,0.008
17,Brighton,48557,0.017,0.108,0.187,0.082,0.07,0.044,0.034,0.03,0.021
18,West Roxbury,33439,0.005,0.015,0.042,0.054,0.076,0.1,0.111,0.085,0.046
19,Hyde Park,37974,0.003,0.005,0.016,0.016,0.028,0.036,0.039,0.036,0.014
20,Mattapan,26841,0.001,0.002,0.004,0.004,0.016,0.007,0.007,0.007,0.005
21,Dorchester,122532,0.004,0.01,0.032,0.03,0.032,0.024,0.026,0.018,0.009
22,South Boston Waterfront,6343,0.003,0.044,0.174,0.128,0.125,0.088,0.071,0.033,0.013
23,South Boston,36371,0.005,0.038,0.208,0.124,0.095,0.066,0.071,0.033,0.019
24,Allston,26649,0.06,0.133,0.151,0.063,0.035,0.022,0.023,0.017,0.008
25,Harbor Islands,98,0.0,0.02,0.041,0.031,0.153,0.041,0.082,0.01,0.0
