,Neighborhood,Total Pop.,18-19,20-24,25-29,30-34,35-44,45-54,55-64,65-74,75-84
0,Roslindale,29018,0.006,0.017,0.013,0.015,0.042,0.025,0.024,0.01,0.002
1,Jamaica Plain,42757,0.008,0.023,0.027,0.019,0.029,0.032,0.025,0.015,0.01
2,Mission Hill,13921,0.014,0.026,0.02,0.006,0.021,0.015,0.017,0.01,0.004
3,Longwood,6240,0.028,0.027,0.006,0.005,0.016,0.003,0.007,0.007,0.001
4,Bay Village,1398,0.011,0.004,0.008,0.0,0.007,0.005,0.001,0.006,0.001
5,Leather District,537,0.011,0.009,0.004,0.013,0.004,0.006,0.002,0.002,0.002
6,Chinatown,2718,0.013,0.008,0.004,0.011,0.003,0.005,0.001,0.002,0.002
7,North End,6962,0.001,0.009,0.013,0.01,0.005,0.002,0.001,0.0,0.0
8,Roxbury,50606,0.013,0.028,0.022,0.022,0.033,0.033,0.02,0.013,0.006
9,South End,23662,0.005,0.011,0.018,0.011,0.018,0.014,0.013,0.007,0.004
10,Back Bay,20693,0.009,0.019,0.011,0.007,0.015,0.009,0.003,0.001,0.001
11,East Boston,32951,0.014,0.057,0.055,0.071,0.12,0.083,0.036,0.012,0.003
12,Charlestown,14793,0.002,0.009,0.013,0.006,0.013,0.01,0.007,0.003,0.0
13,West End,5879,0.002,0.006,0.017,0.019,0.02,0.011,0.002,0.001,0.001
14,Beacon Hill,8521,0.0,0.006,0.009,0.005,0.01,0.002,0.0,0.0,0.004
15,Downtown,12488,0.008,0.007,0.008,0.015,0.01,0.007,0.002,0.001,0.002
16,Fenway,30799,0.025,0.038,0.013,0.007,0.012,0.005,0.005,0.002,0.005
17,Brighton,42703,0.005,0.027,0.019,0.008,0.005,0.005,0.006,0.004,0.002
18,West Roxbury,32651,0.001,0.003,0.005,0.006,0.014,0.014,0.008,0.005,0.002
19,Hyde Park,34541,0.008,0.025,0.018,0.014,0.039,0.029,0.018,0.006,0.006
20,Mattapan,24293,0.002,0.008,0.012,0.007,0.026,0.019,0.012,0.004,0.003
21,Dorchester,119898,0.006,0.017,0.015,0.014,0.021,0.018,0.016,0.006,0.001
22,South Boston Waterfront,5144,0.003,0.009,0.008,0.005,0.015,0.014,0.004,0.003,0.0
23,South Boston,35490,0.002,0.008,0.012,0.01,0.011,0.016,0.008,0.006,0.002
24,Allston,25376,0.017,0.041,0.029,0.012,0.014,0.012,0.006,0.003,0.001
25,Harbor Islands,71,0.0,0.099,0.0,0.0,0.085,0.014,0.014,0.0,0.0
