,Ward Precinct ,THOMAS M MENINO,MICHAEL F FLAHERTY,WILLIAM FEEGBEH (WRITE-IN),ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters
90,1009,258,260,0,1,519,2,521,1807
91,1101,154,114,0,6,274,4,278,831
92,1102,272,128,0,3,403,2,405,1308
93,1103,206,82,0,0,288,4,292,1081
94,1104,295,150,0,3,448,6,454,1616
95,1105,291,142,0,2,435,8,443,1485
96,1106,167,207,0,1,375,5,380,1103
97,1107,235,252,0,8,495,7,502,1562
98,1108,225,263,0,2,490,6,496,1501
99,1109,164,227,0,1,392,1,393,978
100,1110,189,219,0,2,410,6,416,1412
101,1201,330,148,0,3,481,5,486,1485
102,1202,403,203,0,0,606,4,610,2013
103,1203,210,89,0,0,299,0,299,916
104,1204,179,86,0,0,265,4,269,985
105,1205,201,75,0,0,276,3,279,754
106,1206,178,64,0,1,243,4,247,755
107,1207,447,140,0,1,588,12,600,2242
108,1208,124,62,0,0,186,0,186,733
109,1209,206,86,0,1,293,3,296,867
110,1301,294,91,0,0,385,3,388,1263
111,1302,85,28,0,0,113,1,114,539
112,1303,190,97,0,0,287,0,287,1580
113,1304,176,65,0,0,241,1,242,948
114,1305,163,82,0,1,246,4,250,808
115,1306,250,134,0,1,385,14,399,1260
116,1307,166,251,0,1,418,3,421,1199
117,1308,192,154,0,1,347,0,347,1164
118,1309,212,198,0,0,410,1,411,1198
119,1310,338,408,0,1,747,8,755,1600
120,1401,346,88,0,0,434,1,435,1980
121,1402,447,125,0,1,573,4,577,2171
122,1403,244,62,0,0,306,1,307,1166
123,1404,277,91,0,0,368,7,375,1346
124,1405,179,64,0,0,243,2,245,970
125,1406,212,74,0,2,288,1,289,931
126,1407,219,73,0,0,292,3,295,1122
127,1408,260,74,0,0,334,2,336,953
128,1409,196,42,0,0,238,2,240,1133
129,1410,259,74,0,2,335,1,336,1182
130,1411,139,40,0,1,180,1,181,852
131,1412,130,49,0,0,179,0,179,668
132,1413,196,63,0,0,259,0,259,938
133,1414,238,74,0,1,313,6,319,1058
134,1501,233,101,0,0,334,5,339,1331
135,1502,193,42,0,1,236,4,240,895
136,1503,116,45,0,1,162,2,164,584
137,1504,281,121,0,3,405,2,407,1678
138,1505,190,74,0,1,265,3,268,1107
139,1506,133,110,0,3,246,4,250,736
140,1507,165,71,0,0,236,2,238,897
141,1508,174,59,0,0,233,1,234,867
142,1509,174,113,0,0,287,1,288,948
143,1601,172,149,0,1,322,3,325,1038
144,1602,141,141,0,0,282,1,283,732
145,1603,227,196,0,2,425,12,437,1356
146,1604,199,183,0,0,382,3,385,1229
147,1605,244,242,0,2,488,2,490,1346
148,1606,277,217,0,3,497,2,499,1700
149,1607,289,309,0,2,600,3,603,1201
150,1608,284,302,0,0,586,1,587,1236
151,1609,311,452,0,1,764,17,781,1371
152,1610,224,269,0,0,493,3,496,1164
153,1611,347,290,0,4,641,5,646,1307
154,1612,397,407,0,1,805,3,808,1271
155,1701,215,63,0,0,278,4,282,1116
156,1702,146,71,0,0,217,2,219,768
157,1703,325,165,0,2,492,4,496,1578
158,1704,477,222,0,2,701,2,703,1781
159,1705,134,37,0,0,171,0,171,744
160,1706,255,169,0,2,426,6,432,1227
161,1707,140,43,0,1,184,0,184,632
162,1708,253,89,0,1,343,2,345,1071
163,1709,241,122,0,0,363,3,366,846
164,1710,281,125,0,1,407,1,408,1459
165,1711,88,58,0,0,146,3,149,519
166,1712,249,83,0,0,332,1,333,894
167,1713,306,259,0,1,566,4,570,1373
168,1714,224,132,0,5,361,1,362,978
169,1801,411,153,0,0,564,10,574,1899
170,1802,320,107,0,1,428,4,432,1312
171,1803,401,115,0,0,516,3,519,1550
172,1804,374,104,0,0,478,1,479,1518
173,1805,428,133,0,0,561,4,565,1563
174,1806,455,143,0,0,598,3,601,1697
175,1807,322,126,0,3,451,3,454,1300
176,1808,652,182,0,0,834,4,838,2398
177,1809,357,225,0,2,584,6,590,1333
178,1810,487,263,0,1,751,9,760,1966
179,1811,260,107,1,0,368,3,371,1306
180,1812,430,165,0,1,596,6,602,1431
181,1813,214,58,0,0,272,0,272,854
182,1814,214,71,0,1,286,1,287,907
183,1815,332,113,0,1,446,4,450,1310
184,1816,545,262,0,0,807,12,819,1525
185,1817,421,156,0,0,577,5,582,1367
186,1818,505,183,0,1,689,4,693,1751
187,1819,598,201,0,4,803,4,807,2075
188,1820,714,233,0,2,949,3,952,1835
189,1821,402,170,0,2,574,5,579,1830
190,1822,530,230,0,1,761,5,766,1552
191,1823,265,58,0,0,323,4,327,1018
192,1901,169,279,0,1,449,5,454,1309
193,1902,478,330,0,2,810,13,823,1631
194,1903,186,227,0,1,414,4,418,1091
195,1904,231,306,0,1,538,5,543,1580
196,1905,262,270,0,1,533,9,542,1382
197,1906,289,363,0,2,654,7,661,1694
198,1907,292,299,0,6,597,6,603,1658
199,1908,199,179,0,0,378,3,381,847
200,1909,139,200,0,1,340,5,345,817
201,1910,373,257,0,3,633,3,636,1544
202,1911,209,79,0,2,290,4,294,1154
203,1912,284,185,0,1,470,8,478,979
204,1913,226,151,0,2,379,1,380,1085
205,2001,418,247,0,4,669,7,676,1644
206,2002,378,263,0,2,643,3,646,1577
207,2003,405,256,0,0,661,8,669,1623
208,2004,315,232,0,4,551,9,560,1210
209,2005,431,311,0,5,747,10,757,1585
210,2006,504,328,0,2,834,7,841,1656
211,2007,289,190,0,1,480,6,486,996
212,2008,243,221,0,2,466,5,471,1101
213,2009,336,217,0,0,553,0,553,1247
214,2010,479,380,0,1,860,4,864,1828
215,2011,231,171,0,1,403,10,413,787
216,2012,339,242,0,2,583,6,589,1022
217,2013,251,228,0,1,480,2,482,950
218,2014,332,215,0,5,552,4,556,964
219,2015,416,356,0,0,772,5,777,1714
220,2016,525,344,0,4,873,5,878,1725
221,2017,546,371,0,6,923,6,929,1809
222,2018,262,215,0,3,480,5,485,945
223,2019,331,197,0,1,529,5,534,996
224,2020,387,254,0,2,643,29,672,1640
225,2101,71,131,0,0,202,3,205,1915
226,2102,9,17,0,0,26,0,26,1207
227,2103,54,71,0,2,127,1,128,1588
228,2104,39,51,0,2,92,2,94,1191
229,2105,55,90,0,1,146,2,148,1421
230,2106,138,141,0,2,281,3,284,1167
231,2107,95,90,0,0,185,0,185,1425
232,2108,58,91,0,1,150,5,155,1664
233,2109,147,86,0,0,233,0,233,1746
234,2110,207,82,0,0,289,1,290,1278
235,2111,144,142,0,0,286,0,286,1691
236,2112,291,118,0,2,411,1,412,1697
237,2113,575,154,0,1,730,4,734,2103
238,2114,48,74,0,0,122,0,122,916
239,2115,79,96,0,0,175,3,178,1278
240,2116,224,180,0,1,405,4,409,1682
241,2201,222,222,0,1,445,6,451,2139
242,2202,198,207,0,4,409,2,411,2001
243,2203,209,228,1,1,439,3,442,1674
244,2204,184,198,0,0,382,2,384,1156
245,2205,126,97,0,0,223,3,226,953
246,2206,102,123,0,1,226,1,227,984
247,2207,191,158,0,2,351,4,355,1477
248,2208,179,193,0,4,376,1,377,1394
249,2209,147,155,0,0,302,2,304,1392
250,2210,244,220,0,3,467,3,470,1664
251,2211,168,142,0,1,311,5,316,1079
252,2212,192,171,0,2,365,7,372,1100
253,2213,144,134,0,1,279,0,279,911
