,mattapan,dorchester,west_street,dudley,roxbury,grove_hall,codman_square,hyde_park,neponset,washington,bunker_hill,columbus,boston,the_neck
white,83.28328328328328,81.89038919777602,100.0,85.63685636856368,79.30336168489266,66.66666666666666,100.0,80.62015503875969,100.0,87.16814159292035,92.10526315789474,96.875,80.33507853403141,93.02325581395348
api,11.21121121121121,8.247286205983585,0.0,10.840108401084011,8.869987849331713,22.22222222222222,0.0,14.573643410852712,0.0,10.398230088495575,5.263157894736842,0.0,11.874345549738221,6.976744186046512
hispanic,3.1031031031031033,7.889859676992322,0.0,2.710027100271003,9.072498987444309,0.0,0.0,0.6201550387596899,0.0,1.1061946902654867,2.631578947368421,3.125,5.228621291448516,0.0
black,2.4024024024024024,1.9724649192480805,0.0,0.8130081300813009,2.754151478331308,11.11111111111111,0.0,4.186046511627907,0.0,1.3274336283185841,0.0,0.0,2.56195462478185,0.0
