,word0,word1,word2,word3,word4,word5
0,man,woman,boy,protester,kid,person
1,woman,man,teenager,person,protester,boy
2,men,women,teenagers,players,people,boys
3,women,men,students,teenagers,players,chefs
4,male,female,insulting,speciality,latino,steering
5,female,male,epoca,latino,lasses,inofin
6,person,woman,man,guy,baseman,suspect
7,people,residents,folks,students,bostonians,voters
8,community,heritage,alliance,youth,neighborhood,nonprofit
9,neighborhood,country,town,community,heritage,goodness
10,child,character,format,relative,authenticity,life
11,children,students,kids,parents,families,patients
12,kid,man,guy,boy,girl,woman
13,youth,community,prevention,nonprofit,business,heritage
14,business,lgbt,negotiating,youth,moneyed,civic
15,company,firm,project,program,entity,aretha
16,black,destitute,minority,young,latino,color
17,haitian,african,dominican,muslim,ethiopian,armenian
18,caribbean,himalayan,comprised,pacific,beaux,kwanzaa
19,jamaican,teenage,konner,ghanaian,disputing,autistic
20,dominican,kuwait,ethiopian,irish,church,paris
21,kuwait,dominican,arabian,indian,southern,pretoria
22,ethiopian,dominican,irish,american,african,haitian
23,irish,dominican,ethiopian,indian,ode,austrian
24,church,parish,dominican,mosque,institution,mwra
25,paris,syracuse,dominican,italy,vienna,aruba
