,word0,word1,word2,word3,word4,word5
0,man,woman,protester,boy,person,kid
1,woman,man,person,protester,boy,kid
2,men,women,boys,teenagers,players,people
3,women,men,children,citizens,teenagers,students
4,male,female,latino,nonwhite,sounding,cy
5,female,male,shakespearean,black,indecently,latino
6,person,woman,baseman,man,applicant,guy
7,people,folks,residents,bostonians,kids,students
8,community,youth,philanthropic,neighborhood,faith,society
9,neighborhood,town,country,community,area,city
10,child,format,teenager,victim,student,son
11,children,students,kids,siblings,parents,families
12,kid,guy,woman,man,girl,boy
13,youth,community,nonprofit,enrichment,agricultural,philanthropic
14,business,beekeeping,religious,gardening,socialist,health
15,company,firm,agency,waterway,baff,lowcountry
16,black,white,latino,young,minority,destitute
17,haitian,bloc,african,majority,scientology,armenian
18,caribbean,alpine,saharan,pacific,southern,afro
19,jamaican,jamaica,exploited,stacks,amelia,hardwick
20,dominican,jewish,southern,congo,native,oldest
21,jewish,dominican,polish,nseveral,cochair,methodist
22,southern,south,dominican,saharan,episcopal,rural
23,congo,kuwait,dominican,elephant,teenage,jungle
24,native,bred,maine,born,dominican,ma
25,oldest,dominican,largest,central,follower,clutches
