,weights
00,8.311218384419629
dystopian,8.311218384419629
dym,8.311218384419629
ntoxicology,8.311218384419629
ntown,8.311218384419629
ntour,8.311218384419629
dynamo,8.311218384419629
dynasties,8.311218384419629
dynasty,8.311218384419629
ntotaled,8.311218384419629
ntons,8.311218384419629
ntommy,8.311218384419629
ntogether,8.311218384419629
dysphoria,8.311218384419629
dystrophy,8.311218384419629
ntench,8.311218384419629
dzen,8.311218384419629
dzhokar,8.311218384419629
ntitciana,8.311218384419629
díaz,8.311218384419629
dürer,8.311218384419629
eachrosette,8.311218384419629
ntido,8.311218384419629
nthrough,8.311218384419629
nthompson,8.311218384419629
nthink,8.311218384419629
nthings,8.311218384419629
eappen,8.311218384419629
dylann,8.311218384419629
ntrack,8.311218384419629
dyke,8.311218384419629
ntrain,8.311218384419629
nudist,8.311218384419629
nucleus,8.311218384419629
nubs,8.311218384419629
nuber,8.311218384419629
nubbins,8.311218384419629
ntyshawn,8.311218384419629
ntwitter,8.311218384419629
duxbury76,8.311218384419629
nturner,8.311218384419629
ntufts,8.311218384419629
ntsarnaev,8.311218384419629
dwayne,8.311218384419629
ntruck,8.311218384419629
ntrinity,8.311218384419629
ntreasurer,8.311218384419629
dwight,8.311218384419629
dwindle,8.311218384419629
ntraveling,8.311218384419629
ntranslating,8.311218384419629
ntransitioning,8.311218384419629
ntrans,8.311218384419629
dy,8.311218384419629
dyc,8.311218384419629
dye,8.311218384419629
ntrains,8.311218384419629
earbuds,8.311218384419629
ntechboston,8.311218384419629
nsmall,8.311218384419629
nspread,8.311218384419629
nstidman,8.311218384419629
easler,8.311218384419629
nsteve,8.311218384419629
nstephen,8.311218384419629
nstein,8.311218384419629
nstec,8.311218384419629
nstaying,8.311218384419629
easthampton,8.311218384419629
nstarting,8.311218384419629
eastward,8.311218384419629
nstarted,8.311218384419629
nstacey,8.311218384419629
nsports,8.311218384419629
earley,8.311218384419629
nspirits,8.311218384419629
eaters,8.311218384419629
nspectators,8.311218384419629
eatherton,8.311218384419629
nsous,8.311218384419629
eaton,8.311218384419629
nsoups,8.311218384419629
eaves,8.311218384419629
nsounded,8.311218384419629
nsomehow,8.311218384419629
nsolemn,8.311218384419629
ebner,8.311218384419629
nstith,8.311218384419629
eases,8.311218384419629
nstore,8.311218384419629
easel,8.311218384419629
earlham,8.311218384419629
nteachers,8.311218384419629
ntamobi,8.311218384419629
earmark,8.311218384419629
ntamerlan,8.311218384419629
nsupport,8.311218384419629
nsuperintendent,8.311218384419629
nsunday,8.311218384419629
earnie,8.311218384419629
nsun,8.311218384419629
nsummer,8.311218384419629
earpieces,8.311218384419629
earring,8.311218384419629
nsuber,8.311218384419629
nsuazo,8.311218384419629
nstutman,8.311218384419629
nstudies,8.311218384419629
eartha,8.311218384419629
earthfest,8.311218384419629
nstuart,8.311218384419629
earthquakes,8.311218384419629
nstreets,8.311218384419629
eascare,8.311218384419629
nstrassmann,8.311218384419629
nstoughton,8.311218384419629
nudity,8.311218384419629
dusts,8.311218384419629
nueva,8.311218384419629
duct,8.311218384419629
dubrovnik,8.311218384419629
dubuisson,8.311218384419629
nwaltham,8.311218384419629
ducasse,8.311218384419629
nwalmart,8.311218384419629
ducharme,8.311218384419629
nwakefield,8.311218384419629
nwake,8.311218384419629
duckling,8.311218384419629
ducklings,8.311218384419629
nwaka,8.311218384419629
ducky,8.311218384419629
nwaiting,8.311218384419629
nugent,8.311218384419629
nw,8.311218384419629
nvoters,8.311218384419629
nvivian,8.311218384419629
dueled,8.311218384419629
dueling,8.311218384419629
duels,8.311218384419629
nvisiting,8.311218384419629
duet,8.311218384419629
nvisit,8.311218384419629
duffle,8.311218384419629
nvineet,8.311218384419629
duford,8.311218384419629
dubose,8.311218384419629
dubois,8.311218384419629
nwasserman,8.311218384419629
nwatching,8.311218384419629
nwileidy,8.311218384419629
nwidett,8.311218384419629
nwhitman,8.311218384419629
nwhite,8.311218384419629
drumsticks,8.311218384419629
nwhich,8.311218384419629
nwhere,8.311218384419629
drunkenness,8.311218384419629
drunks,8.311218384419629
druthers,8.311218384419629
nwheelock,8.311218384419629
nwere,8.311218384419629
nweeping,8.311218384419629
ds,8.311218384419629
dsci,8.311218384419629
dsm,8.311218384419629
dsw,8.311218384419629
nweeks,8.311218384419629
duale,8.311218384419629
duality,8.311218384419629
duan,8.311218384419629
nwbur,8.311218384419629
dubai,8.311218384419629
nwater,8.311218384419629
dubi,8.311218384419629
nvilmarys,8.311218384419629
nvideos,8.311218384419629
dugan,8.311218384419629
dunn,8.311218384419629
dunreath,8.311218384419629
dunwello,8.311218384419629
duped,8.311218384419629
duping,8.311218384419629
nunlawful,8.311218384419629
duplexes,8.311218384419629
nunits,8.311218384419629
nunion,8.311218384419629
duplo,8.311218384419629
dupuis,8.311218384419629
durability,8.311218384419629
nunemployment,8.311218384419629
duracell,8.311218384419629
durand,8.311218384419629
numbness,8.311218384419629
durban,8.311218384419629
durfee,8.311218384419629
durgham,8.311218384419629
numbah,8.311218384419629
durkin,8.311218384419629
numass,8.311218384419629
dusel,8.311218384419629
nullified,8.311218384419629
nuisances,8.311218384419629
dusky,8.311218384419629
nunnery,8.311218384419629
dunlap,8.311218384419629
nvictory,8.311218384419629
nuno,8.311218384419629
nvendors,8.311218384419629
duhaime,8.311218384419629
dui,8.311218384419629
nuturing,8.311218384419629
dukes,8.311218384419629
nutritionists,8.311218384419629
nutritional,8.311218384419629
dulley,8.311218384419629
duluth,8.311218384419629
duly,8.311218384419629
dumas,8.311218384419629
dumbstruck,8.311218384419629
dumitru,8.311218384419629
dummy,8.311218384419629
nutrients,8.311218384419629
nutmeg,8.311218384419629
nutella,8.311218384419629
nusaama,8.311218384419629
nurturer,8.311218384419629
nurseries,8.311218384419629
nuring,8.311218384419629
dunaway,8.311218384419629
nuremberg,8.311218384419629
nupd,8.311218384419629
dunked,8.311218384419629
nsmalls,8.311218384419629
nslide,8.311218384419629
drumgold,8.311218384419629
npereira,8.311218384419629
elcock,8.311218384419629
nplain,8.311218384419629
nplace,8.311218384419629
npizarro,8.311218384419629
eldon,8.311218384419629
npiene,8.311218384419629
eldzier,8.311218384419629
nphilly,8.311218384419629
eleanora,8.311218384419629
eleanore,8.311218384419629
electable,8.311218384419629
nperhaps,8.311218384419629
nper,8.311218384419629
npalmer,8.311218384419629
electioned,8.311218384419629
npenny,8.311218384419629
elective,8.311218384419629
npeguero,8.311218384419629
npeak,8.311218384419629
npay,8.311218384419629
npaulo,8.311218384419629
npatriot,8.311218384419629
npastry,8.311218384419629
npastor,8.311218384419629
nparticipants,8.311218384419629
electronically,8.311218384419629
nplans,8.311218384419629
elbowing,8.311218384419629
elbowed,8.311218384419629
nplay,8.311218384419629
npressed,8.311218384419629
eighborhoods,8.311218384419629
npresident,8.311218384419629
npresented,8.311218384419629
eighties,8.311218384419629
nprepaid,8.311218384419629
eijk,8.311218384419629
nprecious,8.311218384419629
npreaching,8.311218384419629
eisha,8.311218384419629
eitc,8.311218384419629
eitherestablishment,8.311218384419629
npre,8.311218384419629
npratiwi,8.311218384419629
ekua,8.311218384419629
npotholes,8.311218384419629
npop,8.311218384419629
npollin,8.311218384419629
elaina,8.311218384419629
npolicies,8.311218384419629
elapsed,8.311218384419629
npledger,8.311218384419629
