,0
dorchester,"[('taft', 0.9130488634109497)]"
roxbury,"[('roxbury', 0.8833718299865723)]"
mattapan,"[('bowdoin', 0.8967038989067078)]"
hyde_park,"[('phipps', 0.8828690648078918)]"
fenway,"[('kenmore', 0.9158950448036194)]"
beacon_hill,"[('handicapped', 0.925298273563385)]"
downtown,"[('seaport', 0.9176391363143921)]"
south_boston,"[('waterfront', 0.9023906588554382)]"
east_boston,"[('ciommo', 0.8981355428695679)]"
back_bay,"[('brownstone', 0.9194890856742859)]"
jamaica_plain,"[('aquinas', 0.9318500757217407)]"
south_end,"[('melnea', 0.9272034764289856)]"
charlestown,"[('weston', 0.9252809286117554)]"
brighton,"[('riddle', 0.9043947458267212)]"
allston,"[('allston', 0.9028669595718384)]"
west_end,"[('tavern', 0.9522778391838074)]"
roslindale,"[('neponset', 0.8977651596069336)]"
north_end,"[('manor', 0.930977463722229)]"
mission_hill,"[('nu', 0.8891581296920776)]"
harbor_islands,"[('harbor_islands', 0.9761243462562561)]"
longwood_medical_area,"[('haymarket', 0.9770433902740479)]"
