,0
dorchester,"[('chinatown', 0.882867693901062)]"
roxbury,"[('roxbury', 0.9018070697784424)]"
mattapan,"[('sanon', 0.9103555083274841)]"
hyde_park,"[('hyde_park', 0.9120802283287048)]"
fenway,"[('1927', 0.896687388420105)]"
beacon_hill,"[('bylaws', 0.9039425849914551)]"
downtown,"[('downtown', 0.9278278350830078)]"
south_boston,"[('south_boston', 0.8830046057701111)]"
east_boston,"[('chinatown', 0.8756098747253418)]"
back_bay,"[('1850s', 0.9121639132499695)]"
jamaica_plain,"[('chinatown', 0.9040560722351074)]"
south_end,"[('chinatown', 0.9092728495597839)]"
charlestown,"[('chinatown', 0.8978690505027771)]"
brighton,"[('brighton', 0.9113869071006775)]"
allston,"[('dorchester’s', 0.9047148823738098)]"
west_end,"[('blight', 0.9380764961242676)]"
roslindale,"[('roslindale', 0.8729126453399658)]"
north_end,"[('north_end', 0.8910850286483765)]"
mission_hill,"[('mission_hill', 0.9054936766624451)]"
harbor_islands,"[('habitué', 0.965140700340271)]"
longwood_medical_area,"[('longwood_medical_area', 0.9557775855064392)]"
