,0
dorchester,"[('annapolis', 0.9213747978210449)]"
roxbury,"[('roxbury', 0.892764687538147)]"
mattapan,"[('mattapan', 0.8932098746299744)]"
hyde_park,"[('radosta', 0.899162232875824)]"
fenway,"[('fenway', 0.899350643157959)]"
beacon_hill,"[('beacon_hill', 0.8854702115058899)]"
downtown,"[('downtown', 0.8930495381355286)]"
south_boston,"[('waterfront', 0.8803783059120178)]"
east_boston,"[('chittick', 0.9112180471420288)]"
back_bay,"[('attractions', 0.8961791396141052)]"
jamaica_plain,"[('jamaica_plain', 0.8935127854347229)]"
south_end,"[('south_end', 0.8776432275772095)]"
charlestown,"[('charlestown', 0.8898857235908508)]"
brighton,"[('englewood', 0.8915213346481323)]"
allston,"[('allston', 0.8974959254264832)]"
west_end,"[('west_end', 0.9061843752861023)]"
roslindale,"[('annapolis', 0.8756210803985596)]"
north_end,"[('north_end', 0.8855652213096619)]"
mission_hill,"[('mission_hill', 0.8854731917381287)]"
harbor_islands,"[('harbor_islands', 0.9136759638786316)]"
longwood_medical_area,"[('underutilized', 0.9352524280548096)]"
