,0
dorchester,"[('mauricio', 0.9267372488975525)]"
roxbury,"[('intervale', 0.9201631546020508)]"
mattapan,"[('mattapan', 0.8856543302536011)]"
hyde_park,"[('hennigan', 0.9008312225341797)]"
fenway,"[('fenway', 0.8943501114845276)]"
beacon_hill,"[('solons', 0.891115128993988)]"
downtown,"[('downtown', 0.8823376893997192)]"
south_boston,"[('nstadig', 0.8977720141410828)]"
east_boston,"[('nstadig', 0.927288293838501)]"
back_bay,"[('back_bay', 0.8897333145141602)]"
jamaica_plain,"[('jamaica_plain', 0.8985068202018738)]"
south_end,"[('south_end', 0.8889294266700745)]"
charlestown,"[('langone', 0.9106925129890442)]"
brighton,"[('brighton', 0.8925337195396423)]"
allston,"[('newmarket', 0.8729384541511536)]"
west_end,"[('flattening', 0.9317445755004883)]"
roslindale,"[('roslindale', 0.874177098274231)]"
north_end,"[('langone', 0.9024165272712708)]"
mission_hill,"[('mission_hill', 0.8963208198547363)]"
harbor_islands,"[('surges', 0.9021308422088623)]"
longwood_medical_area,"[('lma’s', 0.922838568687439)]"
