,0
dorchester,"[('annunciation', 0.9057112336158752)]"
roxbury,"[('roxbury', 0.8742270469665527)]"
mattapan,"[('bcs', 0.9044215679168701)]"
hyde_park,"[('unharmed', 0.9287291169166565)]"
fenway,"[('fenway', 0.9136644005775452)]"
beacon_hill,"[('judicious', 0.8681881427764893)]"
downtown,"[('downtown', 0.8889256119728088)]"
south_boston,"[('savin', 0.8924551606178284)]"
east_boston,"[('bcs', 0.8766101598739624)]"
back_bay,"[('kenmore', 0.929862380027771)]"
jamaica_plain,"[('almont', 0.9007595777511597)]"
south_end,"[('uphams', 0.9004106521606445)]"
charlestown,"[('readville', 0.896793007850647)]"
brighton,"[('kenmore', 0.912406325340271)]"
allston,"[('kenmore', 0.9170529246330261)]"
west_end,"[('clarendon', 0.8890292048454285)]"
roslindale,"[('nazing', 0.8928245902061462)]"
north_end,"[('kenmore', 0.9283446073532104)]"
mission_hill,"[('mission_hill', 0.8953946232795715)]"
harbor_islands,"[('rowes', 0.9622812867164612)]"
longwood_medical_area,"[('longwood_medical_area', 0.9533955454826355)]"
