,0
dorchester,"[('dorchester', 0.9620350003242493)]"
roxbury,"[('mattapan', 0.9550753831863403)]"
mattapan,"[('mattapan', 0.9644027352333069)]"
hyde_park,"[('hyde_park', 0.9529942870140076)]"
fenway,"[('fenway', 0.9818113446235657)]"
beacon_hill,"[('beacon_hill', 0.9731616973876953)]"
downtown,"[('downtown', 0.9694817662239075)]"
south_boston,"[('brookline', 0.9557940363883972)]"
east_boston,"[('natick', 0.9731398820877075)]"
back_bay,"[('back_bay', 0.9743464589118958)]"
jamaica_plain,"[('jamaica_plain', 0.975029706954956)]"
south_end,"[('south_end', 0.9588444232940674)]"
charlestown,"[('charlestown', 0.9687349200248718)]"
brighton,"[('allston', 0.9792158007621765)]"
allston,"[('allston', 0.9795502424240112)]"
west_end,"[('narrow', 0.9697065949440002)]"
roslindale,"[('roslindale', 0.9670339226722717)]"
north_end,"[('north_end', 0.9707638621330261)]"
mission_hill,"[('fenway', 0.9530901908874512)]"
harbor_islands,"[('plaza', 0.9282181262969971)]"
longwood_medical_area,"[('kenmore', 0.9560515880584717)]"
