,0
dorchester,1873
roxbury,1288
south_boston,485
mattapan,417
east_boston,372
west_roxbury,372
south_end,329
downtown,299
jamaica_plain,262
roslindale,245
fenway,229
beacon_hill,169
hyde_park,159
charlestown,122
back_bay,119
brighton,119
allston,77
north_end,74
mission_hill,64
west_end,46
longwood_medical_area,11
harbor_islands,5
south_boston_waterfront,0
