,word0,word1,word2,word3,word4,word5
0,bank,bank’s,oneunited,sperm,supplied,foreclose
1,banks,lenders,loans,subprime,ipos,mortgages
2,beverly,gallagher,bartlett,wakefield,wagner,andover
3,stock,heating,increases,inflation,$51,allocated
4,raise,guarantee,expenses,$45,pay,savings
5,financial,woes,lender,repayment,accounting,martes
6,wheeler,“errant,klimas,regan’s,burdman,jarillo
7,regulators,insurers,securities,regulatory,cerulean,federally
8,million,$1,$2,$20,billion,$3
9,salem,swampscott,saugus,andover,marblehead,winchester
10,profits,maximize,wealthier,investing,squeezing,mortgages
11,sell,foreclosed,freddie,suero,fannie,buy
12,march,organizers,shunning,april,parades,sunday’s
13,cooperative,remodeling,vertex,scholarships,slash,multiyear
14,filed,document,bankruptcy,norfolk,alleging,tsarnaev’s
