,word0,word1,word2,word3,word4,word5
0,weiss,instincts,eulogy,”i,“ok,‘this
1,menino,mr,mayor,tom,menino’s,thomas
2,eulogy,instincts,”kennedy’s,goodbyes,compose,falter
3,mayor,menino,walsh,niceness,marty,flynn
4,jewish,seder,nigerian,islam,rift,catholics
5,mass,holy,presbyterian,funeral,1400,cathedral
6,funeral,mourners,remembrance,burial,fairview,neared
7,harvard,university’s,lesley,lecturer,sociology,psychology
8,saying,dismay,disappointed,exercising,disagreed,“each
9,cry,rallying,wakes,“today,”kristen,breathe
10,joke,‘man,‘hey,‘‘and,‘is,auditions
11,words,squabble,dodged,regretted,actions,mince
12,clinton,hillary,rodham,obama,barack,clinton’s
13,leaders,activists,marches,clergy,clashed,community
14,brings,takes,hughes’s,finds,meets,playwright’s
