,word0,word1,word2,word3,word4,word5
0,tierney,congressman,therese,seth,evandro,incumbent
1,women,men,minorities,female,dollop,dibs
2,pelosi,regina,reappointment,goldberg,wooed,chrysostom
3,equal,reproductive,equality,supports,clause,taxpayers
4,democratic,republican,gop,candidate,nominee,polito
5,republicans,democrats,gop,republican,elections,democrats’
6,cents,u2009million,megabits,$29,$60,$18
7,representative,senator,eugene,evandro,democrat,o’flaherty
8,congressional,tuesday’s,rodham,runoff,contested,party’s
9,committee,council’s,trustees,ethics,board,advisory
10,paid,pay,expenses,$300,salary,hayes
11,bus,trolley,mbta,buses,routes,drivers’
12,men,women,lieutenants,commentators,teenagers,monolithic
13,kennedy,victoria,lieutenant,edward,eddie,widow
14,dollar,fees,vouchers,$800,$550,resale
