,word0,word1,word2,word3,word4,word5
0,frank,flaherty,sal,o’toole,”councilors,nformer
1,buddy,cianci,elorza,barber’s,sighed,shanked
2,umass,amherst,grad,completing,alma,studied
3,tsarnaev,dzhokhar,bomber,tamerlan,shootout,stalked
4,cardinal,cushing,homily,reverend,o’malley,dignitaries
5,miss,blurted,‘man,sikowitz,forgive,showrunner
6,hole,ceiling,moon,unnoticed,elevator,glow
7,matthews,succumbed,tong,mcirney,bella,workman
8,lieutenant,edward,magee’s,eddie,finn,unaccounted
9,mayor,menino,walsh,niceness,marty,flynn
10,mind,life’s,intellect,gut,stunt,dodged
11,republican,democratic,gop,democrat,democrats,cochran
12,amherst,umass,fletcher,divinity,sociology,berkeley
13,worse,harder,dull,ticked,frightening,calmer
14,baker,charlie,gubernatorial,grossman,berwick,avellone
