,name,race
0,Grant,white
1,Grant,white
2,Menino,hispanic
3,Dudley,white
4,Walsh,white
5,Walsh,white
6,Dr,white
7,C,api
8,Edelin,white
9,Wade,white
10,Edelin,white
11,Edelin,white
12,Ifill,white
13,Dr,white
14,Edelin,white
15,Edelin,white
16,Wade,white
17,Edelin,white
18,A,api
19,Flanagan,white
20,Edelin,white
21,Dr,white
22,Edelin,white
23,Edelin,white
24,Barbara,white
25,Ken,api
26,Edelin,white
27,Edelin,white
28,Edelin,white
29,Goodwin,white
30,Edelin,white
31,Edelin,white
32,Edelin,white
33,Hoage,white
34,Evans,white
35,Edelin,white
36,Jr,api
37,Del,white
38,Joseph,black
39,Freeman,white
40,Milton,white
41,Johnson,white
42,Falls,white
43,Y,api
44,Edelin,white
45,Johnson,white
46,Edelin,white
47,Roe,white
48,’m,api
49,Fried,white
50,Clayton,white
51,Williams,white
52,Clayton,white
53,Kyau,white
54,Kyau,white
55,Douglass,white
56,M,api
57,Trotter,white
58,Trotter,white
59,Hitler,white
60,Barnum,white
61,shampoo’d,white
62,Drew,white
63,Rigano,hispanic
64,Inc,white
65,Brohel,white
66,Brohel,white
67,Brohel,white
68,Brohel,white
69,—,api
70,Brohel,white
71,M,api
72,Menino,hispanic
73,Zanes,white
74,Mitchell,white
75,Zanes,white
76,Mitchell,white
77,Grooversity,white
78,Santos,hispanic
79,Grooversity,white
80,Handel,white
81,Mason,white
82,Hickman,white
83,Jr,api
84,Jameson,white
85,Harris,white
86,Skyriders,white
87,Otis,white
88,n,api
89,Society,white
90,Lincoln,white
91,Punch,white
92,Judy,white
93,Wagglers,white
94,Jake,white
95,Sickert,white
96,steamCRUNK,white
97,Smith,white
98,Wareham,white
99,Diop,white
100,Fontecchio,white
101,Chapelle,white
102,Watch,white
103,Ramseur,white
104,Angelou,white
105,classic,white
106,Mandela,hispanic
107,Mandela,hispanic
108,Foley,white
109,Lautenberg,white
110,Koop,white
111,Carpenter,white
112,Koch,white
113,Boggs,white
114,Cellucci,white
115,Thatcher,white
116,Chavez,hispanic
117,Giap,white
118,Heaney,white
119,Lessing,white
120,Oscar,white
121,Jhabvala,api
122,Hijuelos,hispanic
123,Leonard,white
124,Clancy,white
125,Ebert,white
126,Gandolfini,white
127,Soprano,white
128,Winters,white
129,Euglogized,white
130,Peter,white
131,Lawrence,white
132,Emmy,white
133,Stapleton,white
134,Bunker,white
135,Harris,white
136,Williams,white
137,’50s,api
138,Jones,white
139,Cliburn,white
140,Reed’s,white
141,Havens,white
142,Cale,white
143,Page,white
144,McPartland,white
145,Hamilton,white
146,Tallchief,white
147,Balanchine,white
148,Ramone,white
149,Grammys,white
150,Dolby,white
