,name,race
0,Darryl,white
1,Whiting,white
2,Whiting,white
3,B,api
4,Saris,hispanic
5,Whiting,white
6,Whiting,white
7,Whiting,white
8,’’,api
9,tWhy,white
10,Crow,white
11,Karasch,white
12,Frey,white
13,White,white
14,Frey,white
15,Mo,api
16,Wilson,white
17,Ferguson,white
18,Brown,white
19,Mo,api
20,Slager,white
21,Scott,white
22,Frey,white
23,’m,api
24,Frey,white
25,White,white
26,tWas,white
27,—,api
28,Trump,white
29,’d,api
30,Trump,white
31,Ciccone,white
32,Ciccone,white
33,’m,api
34,Ciccone,white
35,Yancey,white
36,Yancey,white
37,Yancey,white
38,W,api
39,Jr,api
40,Garrity,white
41,Rossell,white
42,Boy,white
43,Trump,white
44,Bland,white
45,Montes,hispanic
46,Scott,white
47,Slager,white
48,Slager,white
49,van,api
50,Dubose,white
51,Tensing,white
52,Dubose,white
53,Tensing,white
54,McDonald,white
55,Dyke,white
56,Encinia,white
57,Encinia,white
58,Scott,white
59,Scott,white
60,Rogers,white
61,Aragorn,white
62,Skywalkers,white
63,Sacks,white
64,Sacks,white
65,Brooke,white
66,Bond,white
67,Cuomo,white
68,Thompson,white
69,Law,white
70,Wright,white
71,Schweiker,white
72,Edwards,white
73,Berger,white
74,Brady,white
75,Kohut,white
76,Biden,white
77,Biden,white
78,Schmidt,white
79,Abdulaziz,white
80,Yew,api
81,Winton,white
82,Ito,api
83,Hollywood,white
84,Nimoy,white
85,Spock,white
86,Sharif,white
87,Arabia,hispanic
88,Maureen,white
89,Bikel,white
90,Fiddler,white
91,Roof,white
92,Meara,white
93,Taylor,white
94,Jourdan,white
95,Lee,api
96,Dysart,white
97,Carne,white
98,Meadows,white
99,Freberg,white
100,Carter,white
101,Simpsons,white
102,Simon,white
103,Carr,white
104,Simon,white
105,Carr,white
106,Simon,white
107,Scott,white
108,Book,white
109,Grass,white
110,Bathgate,white
111,Doctorow,white
112,Stone,white
113,Tate,white
114,Collins,white
115,McCullough,white
116,McKuen,white
117,Wright,white
118,Levine,white
119,Williams,white
120,Rendell,white
121,Rule,white
122,Gay,white
123,Birmingham,white
124,Schuller,white
125,Masur,api
126,King,white
127,Lucille,white
128,Sledge,white
129,E,api
130,Toussaint,white
131,Coleman,white
132,Terry,white
133,Berra,hispanic
134,Banks,white
135,Gifford,white
136,Malone,white
137,Schayes,white
138,Lemon,white
139,Smith,white
140,Gone,white
141,Eriksen,white
142,Monbouquette,white
143,Henderson,white
144,Malzone,white
145,Loscutoff,white
146,Cleary,white
147,Nash,white
148,Townes,white
149,Nambu,api
150,Fitch,white
151,Chauvin,white
152,Rose,white
153,G,api
154,Gilman,white
155,North,white
156,Alexander,white
157,Mueller,white
158,Holderer,white
159,Clark,white
160,Bing,white
161,Djerassi,white
162,Amdahl,white
163,Lechleider,white
164,Gebhard,white
165,Prudhomme,white
166,Graves,white
167,Kelly,white
168,Scaasi,white
169,Sischy,white
170,Fairchild,white
171,Barris,white
172,Batmobile,white
173,Leventhal,white
174,Lynch,white
175,Shields,white
176,Charren,white
177,Feingold,white
178,Stemberg,white
179,Wilson,white
180,Spillane,white
181,Weiss,white
182,Guillemin,white
183,Sam,api
184,Coffee,white
185,Featherstone,white
186,Pickering,white
187,Firth,white
188,Conley,white
189,Evans,white
190,Conley,white
191,Conley,white
192,Faulk,white
193,Faulk,white
194,Faulk,white
195,Evans,white
196,Walsh,white
197,Mendes,white
198,’m,api
199,Mendes,white
200,Simpson,white
201,DeMartino,white
202,Yorkshire,white
203,Molly,white
204,Molly,white
205,Clampit,white
206,’m,api
207,Ennen,white
