,name,race
0,Patrick,white
1,Regan,white
2,Patrick,white
3,Gonzalez,hispanic
4,Reed,white
5,Souffrant,white
6,Patrick,white
7,Souffrant,white
8,Lyft,white
9,Kincaid,white
10,Kincaid,white
11,Joyce,white
12,Bancy,white
13,Kennedy,white
14,Patrick,white
15,O’Brien,white
16,Gaughan,white
17,Hebert,white
18,Benfica,white
19,Bannister,white
20,Salle,white
21,NHLer,white
22,John,white
23,Ford,white
24,Hogan,white
25,n,api
26,Griese,white
27,University,white
28,Valenzuela,hispanic
29,NHLer,white
30,Leafs,white
31,Leafs,white
32,Ali,api
33,Ali,api
34,Garner,white
35,Brown,white
36,Wilson,white
37,Kelling,white
38,Giuliani,white
39,Bratton,white
40,Obama,api
41,Garner’s,white
42,Kelling,white
43,Bratton,white
44,Giuliani,white
45,Bloomberg,white
46,Garner,white
47,Giuliani,white
48,Mo,api
49,Smith,white
50,Fogel,white
51,Eves,white
52,Fogel,white
53,Fogel,white
54,Walsh,white
55,Brown,white
56,Mo,api
57,Garner,white
58,Rice,white
59,Garner,white
60,Satter,white
61,Artez,hispanic
62,Artez,hispanic
63,Bohrs,white
64,Bohrs,white
65,Roschardt,white
66,Roschardt,white
67,Smith,white
68,’d,api
69,Hernandez,hispanic
70,Lloyd,white
71,Hernandez,hispanic
72,Hernandez,hispanic
73,Paradis,white
74,Hernandez,hispanic
75,Sutter’s,white
76,Hernandez,hispanic
77,Paradis,white
78,Hernandez,hispanic
79,Paradis,white
80,Paradis,white
81,Paradis,white
82,Paradis,white
83,Hernandez,hispanic
84,Paradis,white
85,Hernandez,hispanic
86,Wallace,white
87,Ortiz,hispanic
88,Wallace,white
89,Ortiz,hispanic
90,Hernandez,hispanic
91,Wallace,white
92,Paradis,white
93,fire’,white
94,heat’,white
95,Wallace,white
96,Ortiz,hispanic
97,Hernandez,hispanic
98,Garsh,white
99,Hernandez,hispanic
100,Greenblatt,white
101,Hernandez,hispanic
102,Wallace,white
103,—,api
104,Hernandez,hispanic
105,Abreu,hispanic
106,Waiting,white
107,Parent,white
108,xa0,white
109,Waiting,white
110,M,api
111,Menino,hispanic
112,Finfer,white
113,Diaz,hispanic
114,Obama,api
115,Conway,white
116,Whitman,white
117,Marketplace,white
118,Wallerce,white
119,Winthrop,white
120,Wallerce,white
121,Fadel,white
122,Baker,white
123,Baker,white
124,Baker,white
125,Wilmot,white
126,Wilmot,white
127,Conroy,white
128,Baker,white
129,Baker,white
130,Walsh’s,white
131,Patrick,white
132,Baker,white
133,Baker,white
134,F,api
135,Baker,white
136,White,white
137,Walsh,white
138,Patrick,white
139,Baker,white
140,Patrick,white
141,Romney,white
142,Baker,white
143,Conroy,white
144,Baker,white
145,Baker,white
146,Marino,white
147,Rollins,white
148,DeSimone,white
149,Capolupo,white
150,DiFillippo,white
151,Brock,white
152,McDonnell,white
153,Vodka,white
154,Klarman,white
155,Baker,white
156,Baker,white
157,Lynch,white
158,Lynch,white
159,’m,api
160,Lynch,white
161,M,api
162,Lawrence,white
163,Brandeis,white
164,Mael,white
165,Lynch,white
166,Mael,white
167,Lynch,white
168,Mael,white
169,Lawrence,white
170,Mael,white
171,Mael,white
172,Lynch,white
173,Williams,white
174,Williams,white
175,Filene,white
176,Ferdinand,white
177,Filene,white
178,Ferdinand,white
179,Bolling,white
180,Filene,white
181,Ferdinand,white
182,Filene,white
183,Filene,white
184,Arnold,white
185,Ferdinand,white
186,Dudley,white
187,Ferdinand,white
188,Burnham,white
189,Walsh,white
190,Walsh,white
191,Walsh,white
192,Walsh,white
193,Walsh,white
194,Walsh,white
195,Walsh,white
196,Walsh,white
197,Walsh,white
198,Walsh,white
199,Walsh,white
200,Walsh,white
201,Walsh,white
202,Menino,hispanic
203,Walsh,white
204,Walsh,white
205,McDonough,white
206,Evans,white
207,Evans,white
208,—,api
209,Evans,white
210,Walsh,white
211,Mo,api
212,Walsh,white
213,Kennedy,white
214,Walsh,white
215,Walsh,white
216,Walsh,white
217,Walsh,white
218,Kornegay,white
219,Baker’s,white
220,Baker,white
221,Baker,white
222,Kornegay,white
223,Kornegay,white
224,Gornstein,white
225,Patrick,white
226,Baker,white
227,Ash,white
228,Kirk,white
229,Bratton,white
230,Blasio,hispanic
231,—,api
232,’m,api
233,Bratton,white
234,Bratton,white
235,Brown,white
236,Garner,white
237,Bratton,white
238,Brinsley,white
239,Brown,white
240,Garner,white
241,Bratton,white
242,Blasio,hispanic
243,Bratton,white
244,Wexler,white
245,Bratton,white
246,Wexler,white
247,Bratton,white
248,Bratton,white
249,Wexler,white
250,Bratton,white
251,Wexler,white
252,Bratton,white
253,Wexler,white
254,Bratton,white
255,Bratton,white
256,—,api
257,King,white
258,Bratton’s,white
259,Bratton,white
260,deBlasio,white
261,Bratton,white
262,Garner,white
263,Bratton,white
264,Bratton,white
265,Bratton,white
266,Bratton,white
267,LaRosa,white
268,Everett,white
269,Ferguson,white
270,Mo,api
271,Ferguson,white
272,Satter,white
273,Walsh,white
274,Evans,white
275,King,white
276,X,api
277,Artez,hispanic
278,Sobieraj,white
279,Sobieraj,white
280,Schluessel,white
281,Day,white
282,Henson,white
283,’m,api
284,Filene,white
285,Ferdinand,white
286,Filene,white
287,Ferdinand,white
288,Bolling,white
289,Filene,white
290,Ferdinand,white
291,Filene,white
292,Filene,white
293,Arnold,white
294,Ferdinand,white
295,Dudley,white
296,Ferdinand,white
297,Burnham,white
298,Kenneally,white
299,Kenneally,white
300,Kenneally,white
301,Honk,white
302,Mo,api
303,Gross,white
304,Patrick,white
305,—,api
306,DeLeo,white
307,Rosenberg,white
308,Patrick,white
309,—,api
310,Sumner,white
311,Patrick,white
312,Romney,white
313,Patrick,white
314,Baker,white
315,Weld,white
316,Cellucci,white
317,Butler,white
318,Patrick,white
319,Baker,white
320,Polito,white
321,Baker,white
322,nBaker,white
323,Lowell,white
324,Lawrence,white
325,Baker,white
326,Galvin,white
327,Healey,white
328,Goldberg,white
329,Walsh,white
330,Jackson,black
331,Brown,white
332,Walsh,white
333,Jackson,black
334,Jackson,black
335,Pressley,white
336,Wu,api
337,Walsh,white
338,Walsh,white
339,Jackson,black
340,DELFT,white
341,C,api
342,Houben,white
343,—,api
344,M,api
345,Menino,hispanic
346,Ferdinand,white
347,Miller,white
348,Sasaki,api
349,Houben,white
350,Houben,white
351,Houben,white
352,Center,white
353,Francine,white
354,Shen,api
355,Houben,white
356,Architect,hispanic
357,Jr,api
358,Houben,white
359,Houben,white
360,Ferdinand,white
361,Ferdinand,white
362,Curtis,white
363,Waterman,white
364,Ferdinand,white
365,Mecanoo,white
366,Ferdinand,white
367,Ferdinand,white
368,Menino,hispanic
369,Basile,white
370,Baker’s,white
371,Madaro,white
372,Basile,white
373,Madaro,white
374,Madaro,white
375,Ruggiero,white
376,Walsh,white
377,Ruggiero,white
378,Walsh,white
379,Walsh,white
380,Ruggiero,white
381,Walsh,white
382,Madaro,white
383,Ruggiero,white
384,Deveau,white
385,Scapicchio,white
386,Hernandez,hispanic
387,LaMattina,white
388,Hernandez,hispanic
389,Hernandez,hispanic
390,Deveau,white
391,Petruccelli,white
392,Consalvo,white
393,Deveau,white
394,Farmer,white
395,Cintron,hispanic
396,Basile,white
397,Baker,white
398,Baker,white
399,McNiff,white
400,Galvin,white
401,Beaton,white
402,Baker,white
403,McNiff,white
404,Downs,white
405,Basile,white
406,Myers,white
407,Baker,white
408,Baker,white
409,Dukakis,white
410,Weld,white
411,Romney,white
412,Sargent,white
413,Yikes,white
414,—,api
415,Romney,white
416,Capital,white
417,Romney,white
418,xa0,white
419,xa0,white
420,Baker,white
421,Atta,white
422,xa0,white
423,Berry,white
424,Rubin,white
425,Patrick,white
426,Patrick,white
427,Rubin,white
428,Patrick,white
429,Amistad,white
430,Adams,white
431,Patrick,white
432,Weld,white
433,Baker,white
434,—,api
435,Dukakis,white
436,—,api
437,Rainer,white
438,Oscars,white
439,Ms,api
440,Rainer,white
441,Bowyer,white
442,Rainer,white
443,Reinhardt’s,white
444,Pirandello,white
445,Shaw,white
446,Hitler,white
447,Chaliapin,white
448,Elman,white
449,Ms,api
450,Rainer,white
451,Held,white
452,Ziegfeld,white
453,—,api
454,Anna,white
455,Ziegfeld,white
456,Burke,white
457,Ms,api
458,Rainer,white
459,Oscar,white
460,Lan,api
461,Muni,api
462,Lung,white
463,Buck,white
464,Rainer,white
465,Oscar,white
466,Garbo,white
467,Camille,white
468,Rainer,white
469,Hepburn,white
470,Hanks,white
471,Lombard,white
472,Loy,white
473,Ms,api
474,Rainer,white
475,Odets,white
476,Einstein,white
477,Rainer,white
478,Oscars,white
479,Ranier,white
480,Mayer,white
481,Rainer,white
482,Mayer,white
483,Hostages,white
484,Fellini,white
485,Oscar,white
486,Mastroianni,white
487,Dostoyevsky,white
488,Rainer,white
489,Knittel,white
490,Francesca,hispanic
491,Toscanini,white
492,Anderson,white
493,Mann,white
494,Brecht,white
495,Robert,white
496,Bach,white
497,Ms,api
498,B,api
499,Mayer,white
500,Mayer,white
501,Kenneally,white
502,n“Preliminary,white
503,Kenneally,white
504,Munchkin,white
505,Cabral,white
506,Patrick,white
507,Patrick,white
508,—,api
509,Milton,white
510,Diane,white
511,Patrick,white
512,Milton,white
513,Picco,white
514,Joe,white
515,Patrick,white
516,Milton,white
517,Diane,white
518,Patricks,white
519,Patrick,white
520,Brian,white
521,Joyce,white
522,Milton,white
