,word0,word1,word2,word3,word4,word5
0,dambreville,borges,“khalil,”jacques,dambreville’s,carmelle
1,campbell,andrea,yancey,nessaibi,krystle,jeolitha
2,licenses,liquor,license,regulated”,“byob,timeframe
3,yancey,councilor,incumbent,campbell,pressley,ayanna
4,diluzio,cox,pcc,hiccup”,“gotta,transfer”
5,mattison,feliz,slayman,inspector’s,“nesse”,lunn
6,pelrine,pelrine’s,globeon,ironworker,kochanowski,wilshire
7,dratch,radiologist,dratch’s,grandfather”,”dr,edgar’s
8,said,”,that,to,he,the
9,nunez,thiago,aleida,panhandle,idalys,fieldings
10,thiago,thiago’s,malnourished,triplets,crib,neves
11,camilo,eldrick,mirielle,lemus,godparents,justin’s
12,haiti,salvador,haitian,haitians,acclimating,homeland
13,bratton,nypd,bratton’s,ismaaiyl,foresight,good…
14,fairmount,rail,commuter,trains,ridership,readville
