,word0,word1,word2,word3,word4,word5
0,waldman,lynda,sheryl,carver,waldman’s,toby
1,lynda,sheryl,waldman,brunettes,toby’s,“defrauded”
2,sheryl,lynda,waldman,brunettes,agreeable,“defrauded”
3,pam,rolando,pam’s,robinsons,otha,pams
4,batson,hicks,“elect,ballot”,naacp’s,“measures
5,madison,vocational,bruton,nmadison,northeasternmadison,technical
6,siddiqui,aafia,sumbul,siddiqui’s,azhar,artan
7,drumgold,scola,probationin,cocounsel,goel,”authorities
8,dorfman,elsa,logbook,sotto,angelos,dorfman’s
9,kyla,burkitt’s,lymphoma,“kyla,autoimmune,precocious
10,said,”,that,to,he,the
11,rcc,roberson,trustees,chertavian,board,track’s
12,foss,hingham’s,luery,”healey,clerkship,mdc
13,vocational,madison,nmadison,bruton,school,elihu
14,garvey,garvey’s,amyot,holmes,trinh,ndocuments
