,word0,word1,word2,word3,word4,word5
0,scher,$401,robinsons,executor,$346,$694
1,danny,tamerlan,danny’s,“luggage,harman,“answer
2,meng,dun,tamerlan,“manny,meng’s,tsarnaev
3,dun,meng,tamerlan,meng’s,mellin,“manny
4,camogie,kilkenny,nonconference,’’nba,legerdemain,subban
5,tamerlan,dzhokhar,tsarnaev,dun,meng,carjacked
6,zba,variances,topgolf,scippa’s,scippa,robey
7,nite,lite,drinkwater,1jacobson,”sillery,layte
8,taderera,weaks’s,petithomme,vedrine,lunn,guante
9,moore,darlene,dynamited,bunche,georgine,berkey
10,pulvere,kozlov,”judge,kilmartin,“written,“murphy’s
11,dzhokhar,tsarnaev,tamerlan,tsarnaev’s,bomber,trialas
12,hanley,marylee,stakeholder,nmarylee,cleo’s,nletters
13,tsarnaev,dzhokhar,tamerlan,tsarnaev’s,bomber,dzhokar
14,bra,bra’s,redevelopment,developers,zba,variances
