,word0,word1,word2,word3,word4,word5
0,cunningham,lavery,“mortified,gaa,hayden,parlon
1,santos,dos,jo”,interiano,glaucia,balbuena
2,tba,dy,br,mh,u2003hockomock,hoosac
3,bodies,decomposing,coffins,hinckley’s,body,pickaxes
4,pm,pmwest,1153,pmnorth,1144,pmeast
5,smugglers,migrants’,nminutes,guias,migrants,checkpoint
6,ilsley,ilsley’s,driftwood,rainstorm,wipers,kited
7,billy,devincenzi,bostock,schomburg,“lucky,boiteaux
8,falfurrias,smuggler’s,ranches,281,roadsides,mcallen
9,sal,sal’s,maglie,barber”,didomenico,firebombed
10,napier,crowder,shabazz,blalock,ollie,rozier
11,baylor,anthropology,rowland,geoscience,keck,marymount
12,border,mcallen,migrants,mexico,crossers,“wolves
13,pineda,untraceable,”suspicious,ncarol,unidos,fontes
14,junior,freshman,sophomore,lakeland,ntermined,valedictorian
