,word0,word1,word2,word3,word4,word5
0,finneran,finneran’s,fisted,pension,irrefutable,speaker
1,baker,charlie,governor,“governor,baker’s,polito
2,abath,“unauthorized,thieves’,abath’s,visitor”,witnesses’
3,ramps,bus’s,neighborways,handicapped,nbtd,headlight
4,heist,donati,thieves,cased,fbi,“unc”
5,abdur,rahman,nkhalid,rahman’s,cori,taymullah
6,rahman,abdur,nkhalid,taymullah,cori,rahman’s
7,shelley,’’not,’’wrong,clf’s,storrs,goulston
8,healey,maura,“attorney,nattorney,”attorney,healey’s
9,athenaeum,“center,conversations”,library,provosts,houben
10,meehan,motley,umass,chancellor,“aware”,dorms
11,thieves,heist,abath,abath’s,donati,“unauthorized
12,donati,cased,heist,ferrara’s,connor’s,guarente’s
13,berwick,avellone,gubernatorial,kayyem,aspirants,republican
14,barker,brackenbury,buchtel,turnover,fischman,zineb
