,word0,word1,word2,word3,word4,word5
0,ge,alexion,immelt,helipad,electric’s,“included
1,dumplings,starchy,chorizo,flatbreads,braised,satay
2,bulger,“whitey”,whitey,flemmi,gangster,buried”
3,cianci,cianci’s,buddy,nlantigua,‘‘abscam,machiavelli
4,immelt,executives,nhooley,bornstein,davio’s,mills’s
5,whitey,bulger,mass”,blacky,gangster,bulger’s
6,kadish,doorkeeper,rudman,astrid,aloisi,chief
7,shafran,carruthers,pellerin,michelson’s,szathmary,wireworker
8,ava,duvernay’s,“selma,bancroft,peck’s,geena
9,bpd,tweet,copblock,n“quite,“tragedy,“tradition”
10,depp,frauke,pacino,devil’s,”ironically,johnny
11,buchanan,jarrod,geraghthy,nic,woolfenden,donlan
12,chapman,deossie,levi,bremer,yandle,“mountain
13,elorza,tosado,avellaneda,ranglin,vassell,payaso
14,arbitrator,arbitrators,reinstated,finklea’s,pilot’s,deinhardt
