,0
mattapan,"[('jamaica_plain', 0.9562053680419922)]"
dorchester,"[('brighton', 0.9238476157188416)]"
dudley,"[('dudley', 0.9556289315223694)]"
roxbury,"[('jamaica_plain', 0.9277392625808716)]"
grove_hall,"[('grove_hall', 0.9580186009407043)]"
codman_square,"[('codman_square', 0.9639781713485718)]"
hyde_park,"[('mission_hill', 0.9651521444320679)]"
jones_hill,"[('demariano', 0.9919191002845764)]"
adams_village,"[('girards', 0.9795792102813721)]"
washington,"[('bolling', 0.9580497145652771)]"
bunker_hill,"[('bunker_hill', 0.9376195073127747)]"
harbor_view,"[('bennington', 0.9866637587547302)]"
boston,"[('relations', 0.877837598323822)]"
seaport_district,"[('edges', 0.9839186668395996)]"
aberdeen,"[('aberdeen', 0.9917792081832886)]"
