,0
mattapan,"[('roslindale', 0.9418131113052368)]"
dorchester,"[('jamaica_plain', 0.9347965717315674)]"
west_street,"[('westbound', 0.9792191982269287)]"
dudley,"[('dudley', 0.9366557598114014)]"
roxbury,"[('jamaica_plain', 0.9277518391609192)]"
grove_hall,"[('straddles', 0.9414364099502563)]"
codman_square,"[('184', 0.9623090624809265)]"
hyde_park,"[('jamaica_plain', 0.9384926557540894)]"
neponset,"[('stratton', 0.9682586193084717)]"
washington,"[('washington', 0.8976662158966064)]"
bunker_hill,"[('bunker_hill', 0.9386149644851685)]"
columbus,"[('ruggles', 0.9559770822525024)]"
boston,"[('boston', 0.8602138757705688)]"
the_neck,"[('the_neck', 0.9821701645851135)]"
