,0
mattapan,"[('jamaica_plain', 0.9481350183486938)]"
dorchester,"[('mission_hill', 0.918786346912384)]"
west_street,"[('west_street', 0.9884616732597351)]"
dudley,"[('dudley', 0.9492998719215393)]"
roxbury,"[('mission_hill', 0.9437748193740845)]"
hyde_park,"[('jamaica_plain', 0.954688549041748)]"
neponset,"[('neponset', 0.9762656092643738)]"
washington,"[('adams', 0.9519664645195007)]"
bunker_hill,"[('bachelor’s', 0.9590358138084412)]"
columbus,"[('parkway', 0.9744869470596313)]"
boston,"[('nboston', 0.874939501285553)]"
