,fenway,beacon_hill,downtown,south_boston,east_boston,back_bay,jamaica_plain,south_end,charlestown,brighton,allston,west_end,roslindale,north_end,mission_hill,harbor_islands,west_roxbury,dorchester,roxbury,mattapan,hyde_park
white,60.273972602739725,83.41369334619093,74.08136482939632,82.39224858002004,59.07514450867052,88.67212083071114,80.3379416282642,73.1004366812227,83.33333333333334,79.51807228915662,77.9291553133515,86.4321608040201,76.51195499296765,79.75206611570248,77.13365539452496,68.75,82.93877551020408,78.96203136193584,80.44025157232704,82.706002034588,65.6799531066823
hispanic,23.74429223744292,3.3751205400192865,10.695538057742782,5.713331105913799,30.520231213872833,2.643171806167401,10.138248847926267,14.585152838427948,2.5925925925925926,9.63855421686747,5.722070844686648,2.512562814070352,14.767932489451477,5.371900826446281,2.898550724637681,0.0,4.081632653061225,9.177744169386292,4.737945492662473,8.850457782299085,20.8968347010551
api,15.981735159817351,13.211186113789777,15.223097112860891,11.894420314066155,10.404624277456648,8.684707363121461,9.523809523809524,12.314410480349345,14.074074074074074,10.843373493975903,16.348773841961854,11.055276381909549,8.720112517580873,14.87603305785124,19.96779388083736,31.25,12.979591836734695,11.860224468677863,14.821802935010483,8.44354018311292,13.423212192262602
