,fenway,beacon_hill,downtown,south_boston,east_boston,back_bay,jamaica_plain,south_end,charlestown,brighton,allston,west_end,roslindale,north_end,mission_hill,harbor_islands,longwood_medical_area,west_roxbury,dorchester,roxbury,mattapan,hyde_park
white,74.93188010899182,85.37489102005232,79.39117199391173,84.00814472550708,70.40345821325649,80.91528724440117,78.19611088125775,71.33194588969823,80.38108680310515,73.41717259323504,75.08305647840533,84.93975903614458,73.10231023102311,86.50602409638554,73.45767575322813,84.21052631578947,100.0,80.12279355333844,76.27265109458469,79.85959687283945,79.94385527136619,75.04769172071728
api,15.011146891255883,11.181342632955536,14.61187214611872,10.54898582504503,16.714697406340058,15.903927296332359,12.908564335953661,12.382934443288242,13.338038108680312,23.980919340849958,12.956810631229235,11.74698795180723,19.664466446644667,10.120481927710843,12.48206599713056,13.157894736842104,0.0,14.466615502686109,12.139939247931288,13.423389884592885,11.915159076731129,17.156301666030778
hispanic,9.809264305177113,3.356582388840453,5.5098934550989345,4.800689169081369,12.219020172910664,2.7913015254787408,6.992139015308234,16.129032258064516,4.869442484121383,2.3417172593235036,5.980066445182724,3.313253012048193,7.013201320132014,3.3734939759036147,13.916786226685796,2.631578947368421,0.0,5.026861089792786,10.57923955169163,5.924586502153912,7.080474111041797,7.020221289584128
black,0.24770869457517958,0.08718395815170009,0.4870624048706241,0.6421802803665126,0.6628242074927954,0.3894839337877313,1.9031857674803476,0.15608740894901144,1.4114326040931546,0.26019080659150046,5.980066445182724,0.0,0.22002200220022,0.0,0.1434720229555237,0.0,0.0,0.38372985418265537,1.0081701057923955,0.7924267404137637,1.0605115408608858,0.7757853236678113
