,word0,word1,word2,word3,word4,word5
0,brighton,quincy,dorchester,allston,divinity,brookline
1,allston,charlestown,concord,dorchester,brookline,brighton
2,fenway,harambee,orchard,squantum,madison,puddingstone
3,downtown,uptown,south,greenville,area,suburb
4,charlestown,allston,dorchester,chelsea,mattapan,brookline
5,waterfront,shrine,downtown,ave,archdale,streets
6,roxbury,dorchester,africa,brighton,medford,granby
7,dorchester,roslindale,brookline,roxbury,medford,mattapan
8,mattapan,dorchester,brockton,medford,brookline,charlestown
9,roslindale,brookline,dorchester,woburn,somerville,arlington
10,brookline,roslindale,dorchester,quincy,chelsea,cambridge
11,dorchester,roslindale,brookline,roxbury,medford,mattapan
12,woburn,roslindale,nashua,dorchester,belle,quan
13,somerville,cambridge,roslindale,revere,brookline,leominster
14,arlington,benefactor,roslindale,cambridge,brookline,somerville
