,word0,word1,word2,word3,word4,word5
0,mattapan,roslindale,jamaica_plain,mission_hill,mills,east_boston
1,dorchester,mission_hill,bromley,geneva,roslindale,jamaica_plain
2,west_street,495,intermittently,185,ferry,386
3,dudley,ferdinand,square,complex,bolling,grove_hall
4,roxbury,mission_hill,grove_hall,jamaica_plain,geneva,roxbury’s
5,hyde_park,east_boston,jamaica_plain,roslindale,mission_hill,lynn
6,neponset,fritz,randolph,heath,stratton,cottage
7,washington,adams,geneva,beacon,ame,methodist
8,bunker_hill,enrolled,bachelor’s,graduating,master’s,stem
9,columbus,parkway,stoughton,drums,gallivan,maroon
10,boston,nboston,boston’s,commissioned,recruits,commander
