,word0,word1,word2,word3,word4,word5,original_tuple
0,"[('black', 0.8123551607131958)]",white,protagonists,raza,churchgoers,proud”,black dorchester
1,"[('cape_verdean', 0.8875491619110107)]",specialties,emile,portuguese,widmer,jehovah’s,cape_verdean dorchester
2,"[('haitian', 0.8486385345458984)]",creole,newness,bold”,juggle,learners,haitian dorchester
3,"[('african_american', 0.8127793073654175)]",academicians,‘‘millions,“admirer,‘‘hanging,bobo,african_american dorchester
4,"[('caribbean', 0.8028020858764648)]",reels,constants,”secessionist,hive,gape,caribbean dorchester
5,"[('dorchester', 0.8008911609649658)]",landrum,intervale,fayston,cusandra,jerard,jamaican dorchester
6,"[('dominican', 0.8715623617172241)]",republic,razon,eddison,beulah,’’seveny,dominican dorchester
7,"[('roxbury', 0.8481369018554688)]",sprawls,annunciation,intervale,hennigan,bragdon,black roxbury
8,"[('cape_verdean', 0.8666395545005798)]",specialties,emile,portuguese,widmer,jehovah’s,cape_verdean roxbury
9,"[('haitian', 0.8254338502883911)]",creole,newness,bold”,juggle,learners,haitian roxbury
10,"[('african_american', 0.8177573680877686)]",academicians,‘‘millions,“admirer,‘‘hanging,bobo,african_american roxbury
11,"[('roxbury', 0.8050756454467773)]",sprawls,annunciation,intervale,hennigan,bragdon,caribbean roxbury
12,"[('roxbury', 0.8569027185440063)]",sprawls,annunciation,intervale,hennigan,bragdon,jamaican roxbury
13,"[('dominican', 0.8546163439750671)]",republic,razon,eddison,beulah,’’seveny,dominican roxbury
14,"[('mattapan', 0.8583368062973022)]",parishes,synagogues,pcc,nstadig,xa0neighborhoods,black mattapan
15,"[('cape_verdean', 0.8387078642845154)]",specialties,emile,portuguese,widmer,jehovah’s,cape_verdean mattapan
16,"[('mattapan', 0.832046389579773)]",parishes,synagogues,pcc,nstadig,xa0neighborhoods,haitian mattapan
17,"[('african_american', 0.7678087949752808)]",academicians,‘‘millions,“admirer,‘‘hanging,bobo,african_american mattapan
18,"[('mattapan', 0.8324187994003296)]",parishes,synagogues,pcc,nstadig,xa0neighborhoods,caribbean mattapan
19,"[('mattapan', 0.839225709438324)]",parishes,synagogues,pcc,nstadig,xa0neighborhoods,jamaican mattapan
20,"[('dominican', 0.7986806035041809)]",republic,razon,eddison,beulah,’’seveny,dominican mattapan
21,"[('hyde_park', 0.8178627490997314)]",haskell,0ld,chittick,eddiber,hardy,black hyde_park
22,"[('cape_verdean', 0.8413911461830139)]",specialties,emile,portuguese,widmer,jehovah’s,cape_verdean hyde_park
23,"[('hyde_park', 0.8390928506851196)]",haskell,0ld,chittick,eddiber,hardy,haitian hyde_park
24,"[('african_american', 0.7978672981262207)]",academicians,‘‘millions,“admirer,‘‘hanging,bobo,african_american hyde_park
25,"[('hyde_park', 0.834786593914032)]",haskell,0ld,chittick,eddiber,hardy,caribbean hyde_park
26,"[('hyde_park', 0.8500957489013672)]",haskell,0ld,chittick,eddiber,hardy,jamaican hyde_park
27,"[('dominican', 0.8300468921661377)]",republic,razon,eddison,beulah,’’seveny,dominican hyde_park
