,word0,word1,word2,word3,word4,word5,original_tuple
0,"[('black', 0.8248867392539978)]",white,latino,retaliated,resists,cape_verdean,black dorchester
1,"[('dorchester', 0.8919291496276855)]",rectory,eire,uphams,armory,intervale,cape_verdean dorchester
2,"[('dorchester', 0.8506482243537903)]",rectory,eire,uphams,armory,intervale,haitian dorchester
3,"[('african_american', 0.8240306377410889)]",guilford,casting,mecklenburg,unmarried,connecticut’s,african_american dorchester
4,"[('dorchester', 0.8283028602600098)]",rectory,eire,uphams,armory,intervale,caribbean dorchester
5,"[('dorchester', 0.8203411102294922)]",rectory,eire,uphams,armory,intervale,jamaican dorchester
6,"[('dominican', 0.8447452783584595)]",republic,deluna,entertain,kat,escorting,dominican dorchester
7,"[('roxbury', 0.8206349611282349)]",neighborhood,horace,uphams,lockdown,dudley,black roxbury
8,"[('roxbury', 0.9047720432281494)]",neighborhood,horace,uphams,lockdown,dudley,cape_verdean roxbury
9,"[('roxbury', 0.8671847581863403)]",neighborhood,horace,uphams,lockdown,dudley,haitian roxbury
10,"[('roxbury', 0.8179150819778442)]",neighborhood,horace,uphams,lockdown,dudley,african_american roxbury
11,"[('roxbury', 0.8512042164802551)]",neighborhood,horace,uphams,lockdown,dudley,caribbean roxbury
12,"[('roxbury', 0.8115614652633667)]",neighborhood,horace,uphams,lockdown,dudley,jamaican roxbury
13,"[('dominican', 0.819687008857727)]",republic,deluna,entertain,kat,escorting,dominican roxbury
14,"[('mattapan', 0.8703802824020386)]",“three,bcs,astoria,multifamily,pauses,black mattapan
15,"[('mattapan', 0.9199219346046448)]",“three,bcs,astoria,multifamily,pauses,cape_verdean mattapan
16,"[('mattapan', 0.8942638635635376)]",“three,bcs,astoria,multifamily,pauses,haitian mattapan
17,"[('mattapan', 0.8484799861907959)]",“three,bcs,astoria,multifamily,pauses,african_american mattapan
18,"[('mattapan', 0.8632619380950928)]",“three,bcs,astoria,multifamily,pauses,caribbean mattapan
19,"[('mattapan', 0.8678779006004333)]",“three,bcs,astoria,multifamily,pauses,jamaican mattapan
20,"[('mattapan', 0.8610614538192749)]",“three,bcs,astoria,multifamily,pauses,dominican mattapan
21,"[('black', 0.8058807253837585)]",white,latino,retaliated,resists,cape_verdean,black hyde_park
22,"[('hyde_park', 0.8970868587493896)]",unharmed,fairview,astoria,chery’s,readville,cape_verdean hyde_park
23,"[('hyde_park', 0.8622448444366455)]",unharmed,fairview,astoria,chery’s,readville,haitian hyde_park
24,"[('hyde_park', 0.8005648255348206)]",unharmed,fairview,astoria,chery’s,readville,african_american hyde_park
25,"[('hyde_park', 0.8467451333999634)]",unharmed,fairview,astoria,chery’s,readville,caribbean hyde_park
26,"[('hyde_park', 0.8222416043281555)]",unharmed,fairview,astoria,chery’s,readville,jamaican hyde_park
27,"[('dominican', 0.8693480491638184)]",republic,deluna,entertain,kat,escorting,dominican hyde_park
