,word0,word1,word2,word3,word4,word5,original_tuple
0,"[('black', 0.8312000036239624)]",white,predominantly,male,latino,males,black dorchester
1,"[('dorchester', 0.9022445678710938)]",daylight,freeport,taft,neponset,unspecified,cape_verdean dorchester
2,"[('dorchester', 0.9051432609558105)]",daylight,freeport,taft,neponset,unspecified,haitian dorchester
3,"[('african_american', 0.792702317237854)]",asian,black,male,newton’s,educator,african_american dorchester
4,"[('dorchester', 0.837567150592804)]",daylight,freeport,taft,neponset,unspecified,caribbean dorchester
5,"[('dorchester', 0.9263467788696289)]",daylight,freeport,taft,neponset,unspecified,jamaican dorchester
6,"[('dorchester', 0.8528067469596863)]",daylight,freeport,taft,neponset,unspecified,dominican dorchester
7,"[('black', 0.8453239798545837)]",white,predominantly,male,latino,males,black roxbury
8,"[('roxbury', 0.9072574973106384)]",presbyterian,roca’s,eustis,twelfth,mildred,cape_verdean roxbury
9,"[('roxbury', 0.9204301834106445)]",presbyterian,roca’s,eustis,twelfth,mildred,haitian roxbury
10,"[('african_american', 0.8137727975845337)]",asian,black,male,newton’s,educator,african_american roxbury
11,"[('roxbury', 0.8481297492980957)]",presbyterian,roca’s,eustis,twelfth,mildred,caribbean roxbury
12,"[('roxbury', 0.9228494167327881)]",presbyterian,roca’s,eustis,twelfth,mildred,jamaican roxbury
13,"[('roxbury', 0.8627204298973083)]",presbyterian,roca’s,eustis,twelfth,mildred,dominican roxbury
14,"[('mattapan', 0.8370447754859924)]",bowdoin,neighborhood,grove,edinboro,uphams,black mattapan
15,"[('mattapan', 0.9080437421798706)]",bowdoin,neighborhood,grove,edinboro,uphams,cape_verdean mattapan
16,"[('mattapan', 0.9218789339065552)]",bowdoin,neighborhood,grove,edinboro,uphams,haitian mattapan
17,"[('mattapan', 0.7868035435676575)]",bowdoin,neighborhood,grove,edinboro,uphams,african_american mattapan
18,"[('mattapan', 0.8544829487800598)]",bowdoin,neighborhood,grove,edinboro,uphams,caribbean mattapan
19,"[('mattapan', 0.9351442456245422)]",bowdoin,neighborhood,grove,edinboro,uphams,jamaican mattapan
20,"[('mattapan', 0.8707512021064758)]",bowdoin,neighborhood,grove,edinboro,uphams,dominican mattapan
21,"[('hyde_park', 0.8076566457748413)]",southernmost,phipps,baptized,chesterfield,grandparents,black hyde_park
22,"[('hyde_park', 0.9035898447036743)]",southernmost,phipps,baptized,chesterfield,grandparents,cape_verdean hyde_park
23,"[('hyde_park', 0.9054047465324402)]",southernmost,phipps,baptized,chesterfield,grandparents,haitian hyde_park
24,"[('southernmost', 0.7705292701721191)]",beginnings,scrapbook,claybourne,augusta,aguadilla,african_american hyde_park
25,"[('hyde_park', 0.8471406102180481)]",southernmost,phipps,baptized,chesterfield,grandparents,caribbean hyde_park
26,"[('hyde_park', 0.9360863566398621)]",southernmost,phipps,baptized,chesterfield,grandparents,jamaican hyde_park
27,"[('hyde_park', 0.8821600079536438)]",southernmost,phipps,baptized,chesterfield,grandparents,dominican hyde_park
