,word0,word1,word2,word3,word4,word5,original_tuple
0,"[('black', 0.7945043444633484)]",white,heighten,“problem,predominantly,brown,black dorchester
1,"[('dorchester', 0.8509500622749329)]",chinatown,ncampbell,businesswoman,puddingstone,hill,cape_verdean dorchester
2,"[('haitian', 0.8423202633857727)]",borges,dambreville,cofounded,fleur,educations,haitian dorchester
3,"[('dorchester', 0.7951040267944336)]",chinatown,ncampbell,businesswoman,puddingstone,hill,african_american dorchester
4,"[('dorchester', 0.8387970328330994)]",chinatown,ncampbell,businesswoman,puddingstone,hill,caribbean dorchester
5,"[('dorchester', 0.9444894790649414)]",chinatown,ncampbell,businesswoman,puddingstone,hill,jamaican dorchester
6,"[('dorchester', 0.8327609300613403)]",chinatown,ncampbell,businesswoman,puddingstone,hill,dominican dorchester
7,"[('black', 0.8196926116943359)]",white,heighten,“problem,predominantly,brown,black roxbury
8,"[('roxbury', 0.8559959530830383)]",chinatown,newtowne,bromley,moreland,restriction,cape_verdean roxbury
9,"[('haitian', 0.8454334735870361)]",borges,dambreville,cofounded,fleur,educations,haitian roxbury
10,"[('roxbury', 0.8048866987228394)]",chinatown,newtowne,bromley,moreland,restriction,african_american roxbury
11,"[('roxbury', 0.845953643321991)]",chinatown,newtowne,bromley,moreland,restriction,caribbean roxbury
12,"[('roxbury', 0.941662073135376)]",chinatown,newtowne,bromley,moreland,restriction,jamaican roxbury
13,"[('roxbury', 0.8254700303077698)]",chinatown,newtowne,bromley,moreland,restriction,dominican roxbury
14,"[('mattapan', 0.8149568438529968)]",ncampbell,boyfriend’s,sanon,chinatown,campbell,black mattapan
15,"[('mattapan', 0.8704749941825867)]",ncampbell,boyfriend’s,sanon,chinatown,campbell,cape_verdean mattapan
16,"[('mattapan', 0.8458572626113892)]",ncampbell,boyfriend’s,sanon,chinatown,campbell,haitian mattapan
17,"[('mattapan', 0.852612316608429)]",ncampbell,boyfriend’s,sanon,chinatown,campbell,african_american mattapan
18,"[('mattapan', 0.8760057091712952)]",ncampbell,boyfriend’s,sanon,chinatown,campbell,caribbean mattapan
19,"[('mattapan', 0.9511581659317017)]",ncampbell,boyfriend’s,sanon,chinatown,campbell,jamaican mattapan
20,"[('mattapan', 0.8615410923957825)]",ncampbell,boyfriend’s,sanon,chinatown,campbell,dominican mattapan
21,"[('black', 0.8276384472846985)]",white,heighten,“problem,predominantly,brown,black hyde_park
22,"[('hyde_park', 0.8371738791465759)]",ncampbell,chinatown,hennigan,devine,groveland,cape_verdean hyde_park
23,"[('haitian', 0.8593774437904358)]",borges,dambreville,cofounded,fleur,educations,haitian hyde_park
24,"[('african_american', 0.8066965937614441)]",representation,underrepresented,“problem,registering,latina,african_american hyde_park
25,"[('hyde_park', 0.8377106189727783)]",ncampbell,chinatown,hennigan,devine,groveland,caribbean hyde_park
26,"[('hyde_park', 0.9453425407409668)]",ncampbell,chinatown,hennigan,devine,groveland,jamaican hyde_park
27,"[('hyde_park', 0.8211356401443481)]",ncampbell,chinatown,hennigan,devine,groveland,dominican hyde_park
