,0
dorchester,4397
roxbury,2750
south_boston,1367
mattapan,1273
downtown,871
south_end,703
hyde_park,701
jamaica_plain,660
fenway,638
east_boston,617
roslindale,611
west_roxbury,513
back_bay,485
charlestown,380
brighton,366
beacon_hill,347
allston,336
mission_hill,230
north_end,170
west_end,53
longwood_medical_area,23
harbor_islands,10
south_boston_waterfront,0
