,word0,word1,word2,word3,word4,word5
0,rahim,authorities,ciccolo,witnesses,confrontation,investigators
1,wright,ciccolo,morales,scapicchio,blodgett,gq’s
2,braceland,valerio,rossetti,nasif,karian,luz
3,luna,shifrina,hunter,“throwin’,“buzzy”,brito
4,hedges,bonauto,coredini,goldenberg,folkes,bancy
5,scigliano,lucey,telegram,meneus,holloman,schiada
6,meaney,bretzke,goldman’s,liza,mcgowan,“pbs
7,ciccolo,zachery,medina,headley,wright,polumbaum
8,mitzvah,selfie,“comedy,goreret,“dora,naps
9,ellis,elumba,tsarnaeva,witkowski,baez,bryant
10,mulligan,maximo,“kenny”,harty,acerra,ellis
11,carreno,ojala,mcbreen,“google,serir,lightbulbs
12,clay,noland,shemtov,brandy,benson,gandhi
13,animal,human,childbirth,”civil,domesticated,person’s
14,mcmorrow,goldfarb,claptrap,auctioneer,“ali,sertajeno
