,word0,word1,word2,word3,word4,word5
0,lila,jasmine,tamer,bui,naomi,stowe
1,hull,nantucket,omaha,dedham,saugus,northampton
2,ferry,shuttle,ferries,wollaston,alewife,readville
3,marina,hyannis,freeport,nahant,il,gloucester
4,camping,traipsing,eking,hanging,hoverboards,sunset
5,squantum,columbia,franklin,elizabeth’s,peter’s,aguadilla
6,snowman,eaton,simmonds’s,yanellys,valcin,seligman
7,cal,ucla,foxwoods,kentucky’s,villanova,undefeated
8,lighthouse,westinghouse,edgartown,midtown,sunnyside,woodland
9,hopped,bumping,clamping,trundled,wandered,bumped
10,naumkeag,motorcade,bookbag,wheelbarrow,squeal,larkspur
11,tarp,somersault,kowtowing,drowns,rug,“tucked
12,cabin,leaf,bark,trays,container,folding
13,island,island’s,sideburns,bao,stephi’s,wharf
14,artery,galilee,underground,neponset,peninsula,southwest
