,word0,word1,word2,word3,word4,word5
0,finneran,lepage,mccain,kasich,‘‘officer,romney
1,baker,linehan,walsh,patrick,coakley,governor
2,abath,microphones,depositions,graffiti,tasers,avalanches
3,ramps,tubs,tanker,shoring,propping,rumbled
4,heist,verdict”,mutt,“atrocious,macmullan,lauched
5,abdur,rahman,nkhalid,cori,waslewski,“fraud
6,rahman,abdur,waslewski,goner,”campbell,finneran
7,shelley,benson,cohen,stephens,cotter,byrne
8,healey,goldberg,“ready,coakley,maura,jehlen
9,athenaeum,“rightly,concierges,dyson,prahl,leikind
10,meehan,motley,patrick,umass,jarmond,grogan
11,thieves,gunman,accomplices,attackers,shots,gunshots
12,donati,murrain,padma,dowd,tavano,sprinsky
13,berwick,grossman,rosenberg,sununu,kohn,nikki
14,barker,wilda,patten,coen,zipin,minnucci
