,word0,word1,word2,word3,word4,word5
0,dambreville,chery,guerrero,leibowitz,leikind,dunford
1,campbell,wu,pressley,mcwatters,yancey,murphy
2,licenses,dispensaries,purchases,lotteries,expansions,fees
3,yancey,linehan,jackson,pressley,walsh,capuano
4,diluzio,amendola,besser,approached”,fullback,ramirez
5,mattison,teixeira,doughty,mccoy,holloman,headley
6,pelrine,hainsworth,brimage,amoroso,hickman,blodgett
7,dratch,kenney,silverstein,jules,kayla,marguerite
8,said,says,added,wrote,replied,told
9,nunez,ashley,vasquez,andrade,depina,betty
10,thiago,mattocks,mendoza,unresponsive,musick,“mother
11,camilo,dwyer’s,mirielle,conneely’s,persad,tanya
12,haiti,kenya,nigeria,salvador,somalia,liberia
13,bratton,dowd,billy,mullane,mccarthy,powell
14,fairmount,greenbush,commuter,outbound,rail,roadways
