,word0,word1,word2,word3,word4,word5
0,alemany,headley,chism,tsarnaeva,deakin,amoroso
1,artificial,optic,botanic,upholstery,tcare,nwords
2,quarterback,coach,referee,outfielder,napier,teammate
3,stern,cummings,singleton,jenkins,psychiatrist,baez
4,depth,complexity,breadth,clarity,inconsistent,heightened
5,trump,obama,clinton,bush,trump’s,sanders
6,parade,event,rally,counterprotest,celebration,procession
7,division,semifinals,atlantis,fatality,6pm,fisheries
8,burke,higgins,summerhill,guerrero,richards,britton
9,bagwell,gove,he,alemany,retha,troopers’
10,starters,interceptions,seasons,turnovers,innings,precincts
11,offensive,inappropriate,sexist,insensitive,bigoted,dominating
12,season,game,“rebbe,year’s,weekend,winter
13,turf,rails,paths,heaters,roofs,boardwalk
14,btd,nmassdot,npolicy,nbtd,refinishing,nproject
