,word0,word1,word2,word3,word4,word5
0,cunningham,murray,hasson,johnson,mullane,spall
1,santos,dos,doughty,relatives,maccausland,karki
2,tba,masconomet,amesbury,br,nstoneham,24stoneham
3,bodies,avatars,fastballs,limbs,babies,bullets
4,pm,somerset,berkley,566,sherborn,dighton
5,smugglers,rescuers,naimo,doughty,relatives,murderers
6,ilsley,cannavo,inneo,keflezighi,peggy,rainout
7,billy,bulger,tom,williams,eddie,dick
8,falfurrias,entranceway,sandwiched,495,delves,dmz
9,sal,jakarta,richie,marshall,leahy,brito
10,napier,rams,eagles,hanlan,dodgers,crowder
11,baylor,anthropology,kellogg,lecturer,bu’s,stanford
12,border,fence,turnpike,exporter,militants,ban
13,pineda,kimberly,cirino,pires,wornum,torres
14,junior,freshman,sophomore,teacher,coach,classmate
