,word0,word1,word2,word3,word4,word5
0,melvin,inneo,hester,beldo,bull,retha
1,shanley,confederates,harty,unworthy,murderer,unjustly
2,sarkis,burgoyne,runci,sharkey,leibowitz,mandell
3,firefighters,officers,cops,troopers,demonstrators,teenagers
4,finn,hasson,sullivan,leikind,mahoney,dennehy
5,magee,goebbels,tortorella,murray,ramaphosa,collins
6,hassam,fig,vocals,chops,ninja,picasso
7,firefighter,ems,moynihan,magoon,cop,dambreville
8,firehouse,apartment,headquarters,yard,corner,walkway
9,steward,verizon,oneunited,iasis,baa,medicaid
10,paris,1996,1950,1933,1949,rome
11,barrett,asim,leigh,mahoney,larson,cabral
12,kristen,liz,stoneham88,kay,kathy,karen
13,nmay,njune,noct,nsept,njuly,0norwell
14,eddie,willie,stan,bobby,mailer,sr
