,word0,word1,word2,word3,word4,word5
0,ortiz,hernandez,bradley,jenkins,wahlberg,wright
1,ramirez,butler,silva,stockmal,richards,merloni
2,lonborg,crowder,ilsley,napier,limp,“fiorello
3,harper,dowd,cosmos,bedden,coworker,o’brien
4,clubhouse,peek,mound,sidelines,dugout,boat
5,sox,firetrucks,auerbach,sabrina’s,bruins,celtics
6,yawkey,umass,brayden’s,kraft,yawkey’s,henry
7,yaz,maccausland,foy,punter,hitless,ring
8,millar,“alien,smokin’,bell,mccullough,conti
9,nunes,fryar,fanfan,wilkinson,fernandez,jaden
10,rosa,marie,amos,victoria,lillian,villa
11,petrocelli,hand’s,steep,knee,achilles’,gradually
12,bc,school,bu,schoolers,school’s,handedness
13,martinez,santiago,ross,vazquez,moore,fintan
14,frates,cubs,lefty,bobblehead,giffey,yankees
