,word0,word1,word2,word3,word4,word5
0,manny,dustin,pedroia,ronnie,elated,pat
1,nessralla,sameisha,sarachan,hays,kosilek,brito
2,wynn,casino,resorts,compressor,epa,massport
3,casino,wynn,resorts,lease,proposed,pipeline
4,nclosed,nopen,npost,priyanka,millipore,nmonday
5,atticus,mahershala,nickname,granddaughter,“maya,wannabe
6,avellone,mchenry,vp,manafort,fiorina,strategist
7,terrenzi,“lay,mui,saia,raphael,towle
8,flores,lopez,brenda,eduardo,garcia,delgado
9,spaulding,carney,mgh,beth,boch,lahey
10,xaverian,feehan,holliston,ngloucester,stang,seekonk
11,turf,rails,paths,heaters,roofs,boardwalk
12,lenox,centre,newbury,billips,edgartown,dorchester’s
13,artificial,optic,botanic,upholstery,tcare,nwords
14,inexperience,crean,neuroses,duets,pivots,before”
