,word0,word1,word2,word3,word4,word5
0,jaffier,dawnn,sanchez,deandrade,browder,depina
1,hanukkah,miracles,fruitwood,romp,“loved,melodies
2,rd,drummond,nmarch,476,483,njuly
3,zehngebot,cavasos,tooke,christoforo,transfixing,“hughie
4,renewal,revitalization,redevelopment,growth,renovation,segregation
5,dawnn,jaffier,browder,ndepina’s,magalie,grisel
6,gropman,vitkosky,ostroskey,running”,“architects,‘‘couple’’
7,vrabel,lupo,paladino,“kerr,nissinen,capobianco
8,underestimated,intellectually,threatens,disavowed,constituted,animates
9,naysayers,herbed,busing,outsiders,whites,advantageous
10,aweh,sikowitz,unaccountably,anim,expectantly,depino
11,isango,acclaimed,cabaret,clarinet,sextet,bedlam’s
12,colas,headley,fleurimont,flonory,borgella,browder
13,cod,breton,canaveral,verde,verdeans,verdean
14,douglass,abolitionist,tubman,willi,petersen,vicar
