,word0,word1,word2,word3,word4,word5
0,waldman,sheryl,roxcomp,lynda,grandparents,family’s
1,lynda,wehner,bond,kenai,sheryl,waldman
2,sheryl,waldman,lynda,valibayova,swoon,“schlonged’’
3,pam,rolando,scher,hyman,amoroso,bassil
4,batson,siddiqui,aipac,bedden,gorsuch,wheaton
5,madison,fenway,hyde,nmadison,orchard,puddingstone
6,siddiqui,shifrina,hervieux,taderera,zane,pledger
7,drumgold,suazo,medina,singleton,amoroso,holloman
8,dorfman,condensing,“obsessively,birbiglia,jarrell,wheatley
9,kyla,donna,angela,mansbach,latchman,woodbine
10,said,says,added,wrote,replied,told
11,rcc,roberson,massport,kirleis,agency’s,nteam
12,foss,ciccolo,bratton,lloyd,bond,mccarthy
13,vocational,metco,technical,tutoring,preparatory,laboratories
14,garvey,hodge,polumbaum,cerretani,kerwin,alston
