,word0,word1,word2,word3,word4,word5
0,hernandez,ortiz,jenkins,bradley,lloyd,lloyd’s
1,gove,eckstrom,retha,bagwell,she,gire
2,keeler,staines,gurin,devincenzi,wojnar,sultan
3,langton,untrusting,ferreira,pinales,danny,him
4,said,says,added,wrote,replied,told
5,lloyd,hernandez,odin,finch,tsarnaev,bradley
6,denise,valliere,moriarty,jane,pagliarulo,martin’s
7,keolis,massdot,faa,fcc,verizon,mbta
8,raeshawn,retha,siddiqui,bella,gove,alemany
9,troopers,firefighters,legislators,witnesses,applicants,inmates
10,jane,peggy,mrs,“mother,walker,heather
11,procopio,mcguire,macdonald,mcnulty,kenneally,wark
12,peggy,daly,cannavo,mobley,betty,gelling
13,retha,raeshawn,gove,inneo,promptly,bagwell
14,riley,eben,johnson,gilmore,psychiatrist,wilkins
