,word0,word1,word2,word3,word4,word5
0,man,furlough,wheatland,ismaaiyl,jamal’s,woman
1,woman,man,distraught,“compassionate”,furlough,kayleigh
2,men,women,nfriends,interspersing,blindfolded,sexualized
3,women,men,sexualized,cesspools,saleswomen,nbrookview
4,male,female,males,shamed,‘crisis,fumed
5,female,male,boarder,women,biologically,minority
6,person,reason”,”leigh,commenter,someone,individual’s
7,people,monumentally,them,”plans,’’few,“young
8,community,isbcc,dixit,ministers,ministerial,mosque’s
9,neighborhood,barakat,displacing,“dudley,blight,revitalization
10,child,children,“seriously,nightlight,mother,deja’s
11,children,families,child,kids,parents,toddlers
12,kid,meanest,inquisitive,“upstairs,‘yeah,frederico
13,youth,youthfulness,isbcc,folgert,enrichment,tenpoint
14,business,morningside,centrix,cerberus,microsoft’s,xa0“as
15,company,company’s,verizon,ameresco,reebok,rushcards
16,black,white,sons’,lgbtqa,color,“bullying
17,haitian,borges,dambreville,geralde,nepali,diaspora
18,caribbean,carnival,belize,masquerade,lowell■,aurelio
19,jamaican,derbyshire,pasteur,housecleaner,volta,kismet
20,dominican,republic,rican,puerto,emigrated,manoguayabo
21,republic,dominican,emigrated,bophuthatswana,journeyed,kyrgyzstan
22,rican,puerto,vejigantes,dominican,rivan,doña
23,puerto,rico,rican,ricans,trinidad,pakistan
24,emigrated,sumbul,cornelio,kendrigan,lithuania,trinidadian
25,manoguayabo,outcountry,“pasty”,yellow”,1born,christmases
