,word0,word1,word2,word3,word4,word5
0,dorchester,yarde,milton,watertown,club,quincy
1,roxbury,quincy,elementary,milton,watertown,nursing
2,mattapan,quincy,watertown,milton,cambridge,brockton
3,hyde_park,watertown,milton,brookline,club,cemetery
4,fenway,kenmore,copley,park,library,store
5,beacon_hill,focusing,fields,designated,marching,spattered
6,downtown,waterfront,dudley,harbor,ferdinand,plaza
7,south_boston,brookline,franklin,watertown,brockton,cambridge
8,east_boston,dartmouth,natick,va,1975,shell
9,back_bay,geneva,ymca,quincefield,kenmore,cambridge
10,jamaica_plain,milton,brockton,curley,quincy,braintree
11,south_end,geneva,ymca,quincefield,cambridge,section
12,charlestown,dedham,augusta,milton,mit,watertown
13,brighton,quincy,worcester,cambridge,chinatown,somerville
14,allston,quincy,cambridge,geneva,bowdoin,kenmore
15,west_end,rear,expressway,narrow,baltimore,exiting
16,roslindale,club,quincy,watertown,braintree,restaurant
17,north_end,iconic,concord,zoo,eastern,philadelphia
18,mission_hill,academy,park,library,quincy,classrooms
19,harbor_islands,harbor,area,plaza,section,outpost
20,longwood_medical_area,rumbled,in”,squatters,kenmore,highway
21,rumbled,drops,hoisted,lane,burst,badges
22,in”,airport,cathedral,restaurant,braintree,highway
23,squatters,makers,lobbyists,detectors,sourced,buttons
24,kenmore,bowdoin,copley,geneva,codman,pavilion
25,highway,lane,expressway,garden,deck,cummins
